# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-12-10 17:06:04
# API-Download für Covid19-Fälle in LK Esslingen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,1,,,6,1,1,2,2,2,1,2,1,2,,1,,,
2020-KW11,,,5,3,5,13,11,7,9,9,15,8,7,4,2,2,4,
2020-KW12,1,2,6,7,25,32,26,24,26,31,48,35,31,20,13,14,10,
2020-KW13,4,1,1,6,22,13,20,17,19,19,24,36,35,22,6,20,33,
2020-KW14,,,3,8,25,28,17,15,20,21,39,45,30,17,14,18,60,1
2020-KW15,1,2,4,2,23,17,14,14,13,20,29,17,16,6,3,16,88,
2020-KW16,2,,,1,7,9,5,5,11,9,11,11,8,3,6,9,21,
2020-KW17,,1,1,1,7,9,7,8,5,6,7,9,8,3,4,8,24,
2020-KW18,1,2,1,2,1,3,1,1,1,2,4,8,3,4,1,4,11,
2020-KW19,4,,,1,2,5,3,3,1,1,3,,1,1,1,,8,
2020-KW20,,,,,5,2,1,1,5,6,3,3,,1,1,,13,
2020-KW21,,,,,,2,1,1,1,3,,1,1,1,1,,14,
2020-KW22,,,,,1,1,1,1,,,1,2,,1,1,1,2,
2020-KW23,1,,,,,5,4,,1,4,1,,1,,,,7,
2020-KW24,,,,,2,1,2,,,,1,,,,,,1,
2020-KW25,,,1,1,1,,1,,,1,1,,,,,1,,
2020-KW26,,,,1,,,1,,,3,2,1,,,,,3,
2020-KW27,,,,1,1,1,,,,3,1,2,1,,,,2,
2020-KW28,,1,,,3,2,1,1,2,1,1,,,1,,,,1
2020-KW29,,,,1,3,1,1,2,,3,1,1,2,,,1,,
2020-KW30,,,1,3,,5,5,,3,3,3,,1,,1,1,,
2020-KW31,,,1,,1,1,,6,4,2,,2,,,,,,
2020-KW32,,,,2,2,,,2,,2,,,1,,,1,,
2020-KW33,,,,2,5,2,,2,2,3,1,2,2,,2,1,,
2020-KW34,2,2,5,5,30,17,10,5,7,8,5,2,,2,1,,,
2020-KW35,,3,6,6,12,10,5,7,7,8,4,6,,,1,1,2,
2020-KW36,2,7,7,12,25,16,12,11,12,9,13,4,2,2,,1,,2
2020-KW37,2,3,5,6,10,7,8,4,8,8,7,2,4,2,1,,1,1
2020-KW38,9,5,9,5,22,20,18,15,8,8,12,12,7,6,1,,,3
2020-KW39,4,5,4,9,18,13,22,8,6,9,6,14,11,2,1,1,2,
2020-KW40,8,5,10,15,25,30,29,18,20,14,10,12,11,2,3,,3,2
2020-KW41,5,22,24,24,49,42,57,44,28,23,21,20,14,7,8,1,3,5
2020-KW42,10,9,15,25,61,41,42,44,28,31,22,33,16,18,5,4,15,7
2020-KW43,12,11,24,25,53,60,56,42,40,55,37,51,26,18,19,11,37,8
2020-KW44,17,10,20,54,92,71,75,72,90,69,92,64,53,28,18,16,30,9
2020-KW45,18,26,33,45,85,79,82,63,63,71,84,83,52,24,24,23,43,1
2020-KW46,9,15,13,46,76,67,63,61,47,49,67,61,43,22,18,21,51,6
2020-KW47,10,18,34,55,55,82,61,46,50,62,90,65,45,15,29,21,60,5
2020-KW48,14,17,26,47,60,72,61,56,52,73,76,50,46,30,25,18,92,6
2020-KW49,9,32,43,57,72,97,70,70,59,72,86,86,48,18,24,17,80,4
2020-KW50,16,37,34,72,78,77,85,75,78,80,119,92,68,26,24,28,106,1
2020-KW51,19,30,38,61,72,89,69,61,74,75,68,91,68,47,27,36,120,1
2020-KW52,20,32,22,39,68,72,60,61,56,75,57,69,43,22,33,21,110,
2020-KW53,6,14,15,24,48,43,36,46,40,48,59,59,49,23,14,18,84,2
2021-KW01,6,14,15,25,66,66,63,48,59,48,54,55,44,36,28,19,139,
2021-KW02,9,12,12,27,49,59,55,48,49,47,64,51,36,20,15,24,100,
2021-KW03,4,10,7,21,32,41,43,44,36,39,43,48,26,5,8,17,50,
2021-KW04,11,7,15,33,47,47,40,25,35,32,49,31,28,12,10,9,37,
2021-KW05,8,3,6,27,36,31,33,22,26,25,26,19,20,10,12,6,29,
2021-KW06,2,3,6,16,23,25,16,12,14,18,25,24,17,4,8,11,15,
2021-KW07,9,9,5,12,21,25,28,30,18,14,16,23,12,11,4,11,18,
2021-KW08,15,11,6,15,18,21,22,22,21,24,31,30,18,12,7,6,10,
2021-KW09,18,11,14,19,31,22,20,38,28,32,34,36,21,7,10,6,14,
2021-KW10,21,29,30,49,54,47,51,36,43,47,43,51,26,13,13,9,16,
2021-KW11,42,39,34,33,50,38,43,44,39,52,56,45,39,14,16,10,13,
2021-KW12,47,42,25,34,55,51,63,66,65,51,68,62,35,26,14,12,17,
2021-KW13,20,33,27,41,64,50,60,63,46,49,64,52,21,13,9,14,14,
2021-KW14,35,25,34,38,75,60,81,52,48,64,89,77,52,30,23,16,8,
2021-KW15,37,37,46,66,96,107,87,91,83,90,93,83,42,32,19,15,33,
2021-KW16,68,70,61,104,102,104,99,88,94,112,117,93,62,25,22,24,25,
2021-KW17,43,60,69,73,91,93,107,98,105,104,110,102,80,40,28,15,21,
