# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-06-05 08:51:40
# API-Download für Covid19-Inzidenzen in LK Saalfeld-Rudolstadt, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,23.65,,25.78,,,,,17.32,,,10.46,,,16.6,,,
2020-KW12,,,,,,,,33.6,17.32,51.71,26.09,10.46,11.0,,33.2,,,
2020-KW13,,,,,30.09,,35.62,,,68.94,13.05,41.85,54.99,23.27,,,19.46,
2020-KW14,,,,,,,17.81,,,17.24,,41.85,33.0,23.27,,17.25,9.73,
2020-KW15,,,,,,,17.81,,,,,10.46,11.0,,,,,
2020-KW17,,,,,30.09,,17.81,,,,13.05,,,,,,9.73,
2020-KW18,,,,,30.09,,,16.8,17.32,,,,,11.64,,17.25,,
2020-KW19,,,,25.78,,,,,17.32,,,,,,,,,
2020-KW20,,,50.74,,,,,,,,,10.46,,11.64,,,,
2020-KW22,,,,,,,,16.8,,,,10.46,,,,,,
2020-KW26,,,,,,,,,,17.24,,,,,,,,
2020-KW33,,,,,30.09,,17.81,,,,,,,,,,,
2020-KW34,,23.65,25.37,25.78,,,,,,,,10.46,,,,,,
2020-KW37,,,,,,35.96,,,,,,,,,,34.49,,
2020-KW38,,,,,,,,,17.32,,,,,,,34.49,9.73,
2020-KW39,,,,,30.09,,,,17.32,,13.05,,22.0,,33.2,,9.73,
2020-KW40,,,,,30.09,71.92,,,17.32,,39.14,10.46,11.0,,,17.25,58.38,
2020-KW41,,,,,,,17.81,,,,,20.93,,,16.6,17.25,,
2020-KW42,,,,,,,,16.8,17.32,,26.09,20.93,22.0,,,17.25,,
2020-KW43,,70.96,,,30.09,,53.43,33.6,51.97,17.24,26.09,31.39,54.99,34.91,,,,
2020-KW44,52.15,23.65,,,60.19,107.87,35.62,67.2,17.32,34.47,65.23,31.39,,23.27,,34.49,38.92,
