# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-12-07 06:05:08
# API-Download für Covid19-Inzidenzen in LK Würzburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,10.07,7.85,,,,,,,
2020-KW11,,13.14,13.99,12.89,24.24,,10.07,,,10.07,15.7,7.13,,9.57,23.34,16.9,9.19,
2020-KW12,,,,,48.48,46.18,50.37,29.6,10.03,40.29,70.67,92.67,87.25,19.14,11.67,33.8,36.75,
2020-KW13,12.32,,27.98,38.66,72.72,92.36,80.59,39.47,90.31,141.02,133.49,85.54,63.45,28.71,35.01,33.8,55.13,
2020-KW14,,13.14,13.99,38.66,96.96,46.18,70.51,49.33,50.17,50.36,117.79,92.67,55.52,66.99,58.36,101.4,55.13,
2020-KW15,12.32,13.14,27.98,25.77,24.24,34.63,60.44,9.87,80.27,40.29,47.11,28.51,7.93,9.57,58.36,33.8,27.57,
2020-KW16,12.32,39.41,27.98,38.66,24.24,11.54,50.37,9.87,30.1,50.36,39.26,7.13,15.86,19.14,11.67,,,
2020-KW17,,13.14,,,,,10.07,19.73,10.03,20.15,7.85,14.26,7.93,9.57,,,9.19,
2020-KW18,,,,,,,10.07,,,,,,15.86,,,,,
2020-KW19,,,,,,,20.15,9.87,,,,,7.93,,,,,
2020-KW21,,,,,,,,,,,7.85,14.26,,,,,,
2020-KW22,,,,,,,,,10.03,,,,,,,,,
2020-KW23,,,,,,11.54,,,,,,,,,11.67,,9.19,
2020-KW24,,,,,,11.54,,,,,,,,,,,,
2020-KW26,24.63,,,,12.12,,30.22,19.73,,,,,15.86,,,,,
2020-KW27,,,,,,,,9.87,,,,,,,,,,
2020-KW28,12.32,,,,12.12,,,9.87,10.03,10.07,,,7.93,,,,,
2020-KW29,,,,,,,,,,,7.85,,,,,,,
2020-KW30,,,,,12.12,46.18,10.07,19.73,,10.07,7.85,7.13,,,,,,
2020-KW31,,13.14,,,,,,,,,15.7,7.13,,,,,,
2020-KW32,,,,,,,20.15,9.87,10.03,,7.85,7.13,15.86,19.14,,,,
2020-KW33,,,13.99,25.77,,11.54,20.15,9.87,10.03,10.07,15.7,,,,,,,
2020-KW34,,,,38.66,84.84,46.18,,29.6,,10.07,,,,,,,,
2020-KW35,,13.14,27.98,12.89,36.36,11.54,10.07,,20.07,20.15,,,,,,,,
2020-KW36,24.63,,41.98,,36.36,,10.07,29.6,10.03,20.15,15.7,7.13,,,11.67,,,
