# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-10-16 08:37:04
# API-Download für Covid19-Fälle in LK Weilheim-Schongau, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,1,,,1,,,1,
2020-KW11,,1,,,,3,,1,,1,2,,1,2,1,1,1,
2020-KW12,1,2,1,2,5,9,2,4,2,12,14,6,5,2,2,2,2,
2020-KW13,,,2,8,3,4,6,8,5,11,16,11,2,5,4,3,2,
2020-KW14,5,1,1,5,4,4,13,8,7,2,15,9,9,5,4,5,,
2020-KW15,1,,,3,2,5,1,2,2,1,2,3,,1,3,2,3,
2020-KW16,,2,2,,,,1,,2,1,2,3,1,,,,1,
2020-KW17,,,,,,,1,1,1,1,,1,,,,,,
2020-KW18,,,,,,,,,,,,,1,2,,1,,
2020-KW19,,,,,,,,,,1,,,,,,,,
2020-KW20,,,,,1,,,,,,,,1,,1,,,
2020-KW21,1,1,1,,4,2,2,,1,1,1,,,1,,,1,
2020-KW25,,,,,,,,1,1,,,1,,,,,,
2020-KW26,,,,,,1,,,,,,,,,,,,
2020-KW28,,,,,,,,,,,1,,,,,,,
2020-KW29,,,,2,3,,,,,,,,,,,,,
2020-KW30,,,,,,2,1,,,,,,,,,,,
2020-KW31,,,,,,2,,,1,,,,,,,,,
2020-KW32,1,1,,,,,,,,,,1,,,,,,
2020-KW33,,,,,,,,1,1,,,,,,,,,
2020-KW34,,,,1,3,1,,1,2,1,,,,,,,,
2020-KW35,,1,,4,1,1,1,,,1,1,,,,,1,,
2020-KW36,,,1,3,2,,,,4,2,2,,2,,,,,
2020-KW37,2,,2,2,4,1,2,2,1,2,2,1,1,,,1,,
2020-KW38,,1,3,2,4,3,2,2,,3,2,3,1,1,,,,
2020-KW39,2,,1,2,1,1,1,,3,3,1,1,1,1,1,,,
2020-KW40,,,,,,2,1,,1,,1,,,,,,,
2020-KW41,,,,1,1,,2,1,2,2,2,1,1,,1,1,2,
2020-KW42,2,,3,6,6,13,10,3,1,3,9,1,5,3,3,,1,
2020-KW43,1,4,3,3,14,12,2,7,5,4,7,14,7,13,11,8,8,
2020-KW44,5,4,7,11,24,19,19,13,9,10,21,30,14,4,4,2,17,
2020-KW45,6,6,8,24,23,27,17,19,22,12,20,37,26,12,11,8,13,
2020-KW46,7,7,14,15,21,14,9,12,9,4,20,22,5,6,2,8,6,
2020-KW47,4,4,4,13,13,15,13,9,6,12,14,10,13,7,1,6,5,
2020-KW48,3,6,11,11,16,15,6,8,14,13,10,6,6,6,1,4,2,
2020-KW49,4,7,6,13,22,17,14,7,9,13,16,8,9,3,4,2,6,
2020-KW50,9,15,13,22,15,19,17,21,25,29,26,10,14,5,8,3,10,
2020-KW51,5,6,11,9,19,9,13,12,10,12,21,6,12,7,7,6,4,
2020-KW52,1,2,1,10,11,11,11,9,7,6,14,15,4,10,6,4,25,
2020-KW53,3,2,6,9,13,8,8,7,9,13,10,10,5,5,5,4,13,
2021-KW01,2,10,3,16,12,13,22,10,19,21,18,18,10,5,9,10,17,
2021-KW02,2,3,3,6,9,6,9,9,9,7,9,13,6,5,4,9,16,
2021-KW03,,,2,6,3,5,1,6,6,4,7,4,7,,4,2,9,
2021-KW04,1,1,,7,5,5,3,6,3,4,5,6,6,3,4,2,3,
2021-KW05,2,2,2,1,5,8,7,3,4,4,7,5,5,3,2,3,8,
2021-KW06,,2,,5,10,2,4,6,3,1,7,5,4,5,,,4,
2021-KW07,1,2,2,2,7,3,4,4,4,3,3,6,4,3,1,2,4,
2021-KW08,4,3,2,5,7,,8,3,2,3,7,8,2,2,,3,3,
2021-KW09,3,2,4,6,13,6,13,7,7,8,6,5,4,1,2,,,
2021-KW10,2,8,7,6,12,9,7,9,7,8,5,6,2,5,3,3,7,
2021-KW11,3,1,6,10,4,12,11,2,11,7,7,6,7,2,2,2,9,
2021-KW12,6,6,17,26,21,10,11,17,12,15,7,8,9,4,1,4,9,
2021-KW13,2,2,3,12,19,5,6,14,4,14,12,8,2,3,5,2,9,
2021-KW14,5,6,13,17,18,11,16,9,7,10,23,12,9,2,7,7,4,
2021-KW15,5,12,13,20,20,16,15,11,8,16,20,22,13,7,2,4,13,
2021-KW16,5,6,10,18,16,14,8,8,12,10,17,16,7,6,2,4,7,
2021-KW17,3,3,8,13,19,18,10,6,20,12,16,20,8,4,5,5,14,
2021-KW18,5,11,8,26,23,18,5,11,9,11,12,8,7,4,4,1,1,
2021-KW19,7,10,11,11,6,9,8,9,12,4,11,6,4,2,4,3,2,
2021-KW20,2,12,7,13,6,4,5,13,4,4,6,6,3,2,2,,6,
2021-KW21,8,6,8,5,6,,5,7,1,8,2,5,3,2,3,,3,
2021-KW22,5,9,4,4,5,3,3,4,4,3,7,2,,1,2,,,
2021-KW23,2,4,3,1,,1,1,4,3,2,1,,,,,,1,
2021-KW24,1,1,1,1,1,,,,,1,,,,,1,,,
2021-KW25,1,1,2,,1,,2,,1,,1,4,,,,,,
2021-KW26,,,1,2,1,,,,2,,,,,1,,,,
2021-KW27,,,,,3,,,,2,1,,,,,,1,,
2021-KW28,,,1,,2,3,1,1,,,,,,,,,,
2021-KW29,,,1,1,4,1,1,6,,1,,1,,,,,,
2021-KW30,1,,,,4,9,4,,,1,,,,,,,2,
2021-KW31,2,1,,2,3,7,5,1,4,,1,,,,,,,
2021-KW32,2,5,1,14,18,6,2,5,2,,3,1,,,,,,
2021-KW33,1,1,2,10,17,12,9,4,1,2,7,2,1,,1,,,
2021-KW34,4,2,2,12,20,15,13,7,5,9,5,5,2,1,1,,,
2021-KW35,3,5,9,18,10,5,6,7,8,8,5,1,4,1,,2,1,
2021-KW36,4,9,6,7,6,5,5,8,8,7,9,2,3,,1,,,
2021-KW37,3,7,7,19,13,8,9,6,4,9,3,6,2,2,1,2,5,
2021-KW38,12,15,14,12,10,8,12,17,12,3,8,3,2,1,2,1,1,
2021-KW39,12,16,13,11,7,3,7,4,7,9,5,,6,2,2,,5,
2021-KW40,5,13,19,17,5,7,6,16,17,7,8,8,5,3,1,2,7,
2021-KW41,4,14,12,14,10,5,8,15,10,8,8,5,7,1,3,1,4,
