# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-05-26 08:42:46
# API-Download für Covid19-Inzidenzen in LK Heilbronn, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,4.32,,,,,,,,,,,
2020-KW10,,,,5.88,,14.87,,8.89,9.02,4.53,14.67,6.87,4.08,,,16.87,32.21,
2020-KW11,,,6.13,,16.11,,8.63,,22.55,13.59,7.34,13.74,,,12.54,,9.2,
2020-KW12,,11.77,12.25,41.18,26.84,64.44,69.04,48.91,85.7,31.7,80.71,44.67,48.93,10.29,25.07,33.73,41.41,
2020-KW13,10.85,5.88,6.13,5.88,102.0,44.61,43.15,75.59,85.7,58.88,66.03,54.98,57.09,51.47,81.48,75.9,82.82,
2020-KW14,10.85,,,35.29,32.21,29.74,47.47,66.69,31.57,31.7,80.71,58.42,36.7,46.32,12.54,42.16,110.43,
2020-KW15,,,,23.53,37.58,59.48,38.84,48.91,36.08,40.76,66.03,41.23,32.62,51.47,12.54,16.87,55.22,
2020-KW16,,,30.64,17.65,42.95,44.61,43.15,13.34,45.1,40.76,58.7,44.67,53.01,15.44,18.8,42.16,32.21,
2020-KW17,10.85,5.88,6.13,,10.74,14.87,17.26,26.68,18.04,13.59,14.67,27.49,28.54,10.29,31.34,25.3,78.22,
2020-KW18,,,6.13,,16.11,4.96,12.95,4.45,4.51,,,3.44,12.23,5.15,25.07,50.6,27.61,
2020-KW19,5.43,,,5.88,5.37,9.91,,,9.02,,,10.31,,,6.27,16.87,18.41,
2020-KW20,5.43,,,,5.37,,12.95,8.89,9.02,,14.67,3.44,20.39,10.29,,16.87,9.2,
2020-KW21,,,,5.88,,,4.32,8.89,,,,,,5.15,,,,
2020-KW22,,,,,,,,4.45,,,,,4.08,,6.27,,4.6,
2020-KW23,,,,,,,,8.89,,,3.67,,4.08,,,,,
2020-KW24,,,,,,,,4.45,,4.53,,6.87,,,,8.43,,
2020-KW25,,,,,,,4.32,,,4.53,,,,,,,,
2020-KW26,5.43,5.88,,,,4.96,8.63,4.45,,4.53,3.67,,,,,,,
2020-KW27,5.43,,6.13,,,,,,4.51,4.53,,,,,,,,
2020-KW28,,,,,,,4.32,,,,3.67,,,,,,,
2020-KW29,,,,,5.37,,,,,,,,,,,,,
2020-KW30,,5.88,,17.65,5.37,,4.32,4.45,,,7.34,3.44,,,,,,
2020-KW31,10.85,,49.02,,42.95,4.96,8.63,13.34,4.51,4.53,,6.87,,,6.27,8.43,4.6,
2020-KW32,,,,,21.47,29.74,4.32,4.45,4.51,,3.67,,,,,,9.2,
2020-KW33,5.43,5.88,6.13,,10.74,,4.32,,,4.53,,10.31,,,,,,
2020-KW34,,5.88,36.76,47.06,37.58,34.7,17.26,8.89,31.57,22.65,7.34,10.31,4.08,,6.27,8.43,,
2020-KW35,5.43,11.77,6.13,29.41,26.84,19.83,21.58,13.34,22.55,22.65,11.01,10.31,,,,,,
2020-KW36,5.43,29.42,18.38,29.41,64.42,39.65,38.84,31.12,27.06,36.23,11.01,3.44,8.16,,,,,
2020-KW37,10.85,11.77,24.51,35.29,5.37,44.61,17.26,,4.51,18.12,7.34,10.31,,5.15,6.27,,,
2020-KW38,,5.88,,23.53,16.11,24.78,17.26,26.68,4.51,22.65,14.67,13.74,4.08,10.29,6.27,,23.01,
2020-KW39,10.85,11.77,6.13,11.76,26.84,24.78,12.95,8.89,18.04,13.59,18.34,6.87,8.16,5.15,18.8,25.3,4.6,
2020-KW40,,,30.64,17.65,26.84,39.65,17.26,8.89,9.02,13.59,22.01,10.31,,5.15,6.27,,,
2020-KW41,16.28,5.88,12.25,41.18,48.32,29.74,51.78,17.78,36.08,27.18,40.35,20.62,12.23,,25.07,16.87,9.2,
2020-KW42,5.43,23.54,12.25,17.65,48.32,49.57,64.73,48.91,36.08,22.65,40.35,48.11,20.39,36.03,6.27,33.73,13.8,
2020-KW43,5.43,47.08,61.27,182.36,177.16,118.96,155.35,75.59,67.66,104.17,117.4,72.16,65.24,72.05,25.07,25.3,23.01,
2020-KW44,81.39,64.73,55.14,158.83,225.48,218.1,146.72,151.17,166.89,144.94,161.42,144.32,77.48,77.2,87.75,42.16,32.21,
2020-KW45,54.26,64.73,85.78,135.3,257.69,312.27,228.7,128.94,126.29,212.88,187.1,144.32,134.56,82.35,56.41,59.03,55.22,
