# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-02-15 07:36:45
# API-Download für Covid19-Fälle in LK Erlangen-Höchstadt, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,1,,,,,,,1,,,,,,,,
2020-KW11,,,1,,1,,,,1,,1,2,,,,,,
2020-KW12,,,,3,3,2,,2,,,3,2,2,4,2,,,
2020-KW13,,,2,2,2,3,3,,6,5,4,2,1,3,1,,1,
2020-KW14,1,4,2,3,4,2,3,3,2,4,12,10,7,4,3,2,2,
2020-KW15,,2,,,3,,3,3,2,,5,6,5,2,2,1,4,
2020-KW16,,,,,1,1,,1,,1,1,1,3,1,,1,2,
2020-KW17,,,,1,,,1,3,,1,1,3,,1,,,,
2020-KW18,,,,1,,1,,,,,1,,1,,,,,
2020-KW19,,,,,,,,,1,1,,,,,,,,
2020-KW20,,1,,1,1,,1,2,,1,2,1,1,1,1,2,18,
2020-KW21,,,,,,,,1,,,2,2,,,,1,1,
2020-KW22,,,,,,,,,1,,,,,,,,,
2020-KW23,,,,,,,,,,,,1,,,,,,
2020-KW24,,,,,,,,,,,,,,,,,1,
2020-KW25,,,,,,,,,1,,,,,,,,,
2020-KW26,,,,,,,,,,,1,,,,,,,
2020-KW27,,,,1,,,,,,1,1,2,,,,,,
2020-KW28,,,,,,,2,1,,,,,,,,,,
2020-KW29,,,,,1,1,1,2,1,,1,,,,,,,
2020-KW30,,,,,2,,,,1,,,,,,,,,
2020-KW31,,,3,2,3,3,2,,,5,3,,,,,,,
2020-KW32,,,,,3,,,,,1,,,2,1,,,,
2020-KW33,1,,1,,5,3,2,,,,1,2,1,1,,,,
2020-KW34,,,2,1,,,,2,1,,,1,1,,,,,
2020-KW35,,,1,1,2,,,1,,,,1,,,,,,
2020-KW36,1,,2,6,2,,,,,4,2,1,1,,,,,
2020-KW37,,,2,2,3,2,1,,,2,,,,,,,,
2020-KW38,,2,,2,2,2,1,2,1,2,3,,,,,,,
2020-KW39,,1,2,,,1,,,1,,,,,,1,,,
2020-KW40,,2,1,1,1,1,3,,2,1,4,1,,2,1,,,
2020-KW41,,,2,2,2,1,1,1,2,4,2,2,1,2,1,,,
2020-KW42,,,2,7,9,6,1,3,2,1,4,,2,1,,,1,
2020-KW43,1,1,2,4,9,4,5,5,4,6,9,7,4,5,2,3,4,
2020-KW44,,1,4,4,16,7,7,4,9,7,9,8,6,8,6,5,10,
2020-KW45,1,,9,10,21,15,9,11,15,16,14,16,11,6,10,4,7,
2020-KW46,1,3,7,11,18,22,10,18,13,13,21,22,9,14,7,9,43,
2020-KW47,2,10,11,19,14,14,16,16,11,24,24,22,18,4,8,11,27,
2020-KW48,10,6,3,12,9,12,9,14,14,10,14,26,16,7,8,8,58,
2020-KW49,3,2,1,16,16,6,12,18,12,14,20,22,16,15,8,11,51,
2020-KW50,2,4,7,14,19,9,9,15,20,20,39,28,20,8,7,14,56,
2020-KW51,2,4,7,10,22,23,30,21,11,16,11,12,11,8,6,7,42,
2020-KW52,3,6,5,9,12,12,12,15,10,15,10,16,16,6,8,6,35,
2020-KW53,2,1,3,6,18,14,17,17,17,27,20,22,19,7,7,17,50,
2021-KW01,1,2,8,11,17,9,8,16,18,15,16,14,10,6,10,4,15,
2021-KW02,4,1,3,11,11,19,9,23,14,13,14,22,9,6,8,8,23,
2021-KW03,5,,3,7,11,8,5,9,12,16,9,11,6,2,3,4,9,
2021-KW04,2,3,6,4,9,5,6,8,6,3,14,9,7,5,5,4,8,
2021-KW05,1,,1,4,6,5,11,3,3,6,9,8,4,4,2,1,5,
2021-KW06,1,1,1,3,6,4,3,4,,2,3,4,6,2,1,2,4,
2021-KW07,,5,2,2,7,,3,7,5,3,4,1,2,2,,1,2,
2021-KW08,7,1,5,6,11,6,6,3,7,2,8,15,7,3,3,1,1,
2021-KW09,5,3,7,1,7,11,5,7,5,11,9,2,6,4,2,1,3,
2021-KW10,2,11,7,9,13,9,8,14,9,8,12,5,4,4,1,1,4,
2021-KW11,10,18,5,5,17,17,13,15,16,8,12,11,10,4,1,3,2,
2021-KW12,6,10,13,10,21,6,11,17,11,12,8,11,16,8,6,2,4,
2021-KW13,7,6,14,16,9,10,12,17,10,11,10,10,4,9,2,2,5,
2021-KW14,9,2,7,7,13,13,10,11,17,15,12,10,5,5,5,3,1,
2021-KW15,6,8,12,17,13,9,9,19,14,13,13,9,7,10,3,6,3,
2021-KW16,14,8,9,14,17,20,15,14,14,22,22,15,9,6,11,1,7,
2021-KW17,7,5,9,16,11,10,13,17,17,13,20,15,9,5,6,7,2,
2021-KW18,7,12,10,3,10,2,4,8,5,7,7,3,5,3,4,,6,
2021-KW19,1,2,7,4,5,7,1,4,5,7,6,8,1,6,2,1,2,
2021-KW20,3,3,6,7,3,2,3,1,2,4,4,5,1,1,1,2,,
2021-KW21,2,1,2,4,9,8,5,4,6,3,3,2,6,2,1,1,2,
2021-KW22,1,,2,,1,3,6,1,6,3,4,3,3,2,1,1,,
2021-KW23,1,1,,1,4,2,,,1,1,,2,1,,,,3,
2021-KW24,,1,1,,1,1,1,1,,1,,,,,,,,
2021-KW25,,1,,1,1,,,,1,1,1,,1,2,,,,
2021-KW26,,,2,1,1,,1,1,,1,,,,,,,,
2021-KW27,,,,,5,3,2,,1,,,,,,,,,
2021-KW28,,1,1,,2,1,3,,,,1,,,,1,,,
2021-KW29,,,,,4,1,,2,1,,,2,,,,,1,
2021-KW30,,,,5,2,4,,2,1,2,3,1,,,,1,4,
2021-KW31,,1,1,10,3,2,2,,3,,1,,,1,,,4,
2021-KW32,1,,2,4,2,3,1,1,2,,,,,,1,1,,
2021-KW33,1,3,6,7,9,5,3,1,3,5,1,2,,,,,1,
2021-KW34,6,4,8,5,8,2,5,8,9,10,5,5,,,1,,,
2021-KW35,4,2,4,6,3,5,9,4,5,5,5,2,4,1,,,,
2021-KW36,6,6,3,10,5,2,5,9,5,5,3,4,1,,3,1,1,
2021-KW37,9,9,10,9,5,6,4,3,11,4,7,5,3,2,,1,3,
2021-KW38,4,5,7,3,6,3,5,5,2,7,4,2,1,4,4,1,,
2021-KW39,4,4,3,5,4,6,5,4,9,1,4,5,3,1,,,,
2021-KW40,1,7,14,5,10,2,5,3,7,7,9,5,4,3,1,2,,
2021-KW41,3,11,14,3,4,3,7,8,8,4,5,9,4,1,1,,1,
2021-KW42,8,22,11,19,12,12,20,22,22,14,16,16,14,4,4,2,10,
2021-KW43,10,25,19,12,13,20,16,14,26,21,13,15,6,7,6,,8,
2021-KW44,11,21,13,14,20,19,21,25,25,6,20,22,18,10,4,5,11,
2021-KW45,20,46,53,42,33,26,35,38,40,51,47,49,36,14,7,15,19,
2021-KW46,17,44,50,34,24,32,38,29,53,37,43,45,32,28,14,12,28,
2021-KW47,14,54,51,39,42,39,34,43,42,45,44,35,32,30,12,19,11,
2021-KW48,28,60,62,33,25,25,32,37,42,37,41,36,27,27,17,16,10,
2021-KW49,28,46,55,24,25,14,39,42,41,29,38,21,24,10,4,12,10,1
2021-KW50,13,38,40,18,15,15,14,30,33,22,15,16,11,12,4,7,3,
2021-KW51,8,24,18,7,15,16,14,14,19,16,11,5,7,5,2,3,4,
2021-KW52,5,10,13,22,15,13,12,15,14,18,14,17,10,5,1,1,4,
2022-KW01,15,26,24,29,21,39,35,30,33,24,18,15,16,7,3,1,6,
2022-KW02,24,55,78,88,69,37,57,52,54,42,39,35,25,14,10,4,2,
2022-KW03,67,110,107,83,68,56,59,88,64,38,57,31,34,15,15,4,7,1
2022-KW04,93,179,127,93,58,68,72,113,90,67,54,49,31,15,8,4,17,
2022-KW05,154,418,321,241,162,161,222,290,296,180,167,125,92,59,37,15,95,
2022-KW06,138,303,268,189,148,118,173,214,223,166,131,115,72,39,33,24,55,
