# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2021-07-18 05:41:08
# API-Download für Covid19-Fälle in LK München, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW06,,,,,,,,,,,,1,,,,,,
2020-KW10,,,,1,,,,,,2,1,,,,,,,
2020-KW11,,2,5,3,2,2,3,5,7,13,9,11,2,1,,2,,
2020-KW12,3,5,6,8,11,19,16,18,18,28,23,25,10,5,6,2,3,
2020-KW13,2,1,3,14,16,25,11,25,25,21,39,31,17,10,9,17,30,
2020-KW14,4,4,9,11,23,14,26,24,21,32,35,24,15,8,8,20,43,
2020-KW15,2,2,2,13,11,6,8,12,5,14,17,11,13,3,11,7,35,
2020-KW16,1,1,,5,3,6,4,7,10,2,6,7,2,4,2,6,27,
2020-KW17,,,,2,9,2,7,1,6,3,4,5,3,,3,5,12,
2020-KW18,4,3,2,7,5,9,4,6,3,1,7,3,2,1,2,3,15,
2020-KW19,,,1,2,6,4,6,4,1,2,1,2,1,1,1,1,3,
2020-KW20,,,,2,,2,,,2,3,,5,2,,1,4,2,
2020-KW21,,1,,,2,3,1,3,6,2,,1,1,2,,2,4,
2020-KW22,1,,2,2,3,,1,2,,1,1,4,2,2,1,,3,
2020-KW23,,,,,,4,1,1,,,,,,,,,1,
2020-KW24,,,,1,2,1,2,,,,,,,,,,1,
2020-KW25,,,,,,1,4,1,1,,2,,,,,,,
2020-KW26,,,,2,,,,,1,,,,,,,,4,
2020-KW27,,1,1,,2,2,7,2,1,3,1,,,,1,1,,
2020-KW28,,2,2,,1,,1,3,2,,,2,1,,1,,1,
2020-KW29,,,1,,2,1,,2,2,,2,5,,,2,,,
2020-KW30,,,,3,1,2,2,4,1,1,1,1,,,,,,
2020-KW31,1,,,1,3,,,,,2,4,2,1,,1,,,
2020-KW32,,,,5,5,1,1,,2,2,1,,1,,,1,2,
2020-KW33,,2,2,5,10,5,1,3,3,1,,,,,,,,
2020-KW34,2,3,2,21,14,10,2,4,3,5,6,4,4,,1,,,
2020-KW35,1,2,4,7,7,10,5,5,5,3,6,2,,,1,,,
2020-KW36,2,9,8,4,13,8,7,13,6,4,8,5,1,,,,,
2020-KW37,4,2,4,12,10,7,7,6,6,4,4,3,5,,1,,1,
2020-KW38,2,7,6,9,17,4,10,10,12,9,8,6,4,3,1,,1,
2020-KW39,3,5,8,5,6,9,6,10,5,12,8,2,6,2,1,3,1,
2020-KW40,4,1,5,9,10,7,9,5,3,6,4,8,4,2,2,1,,
2020-KW41,7,3,8,14,14,9,11,12,7,6,20,9,5,5,4,3,3,
2020-KW42,1,3,8,18,21,13,12,13,11,10,16,10,9,7,7,4,4,
2020-KW43,9,16,12,23,49,36,25,22,21,42,37,24,16,10,10,14,10,
2020-KW44,20,23,26,25,46,47,30,49,43,45,60,57,31,12,11,14,16,
2020-KW45,14,39,30,54,61,48,52,43,52,56,79,51,43,15,16,17,28,
2020-KW46,17,32,32,39,54,64,56,45,49,49,78,50,37,14,10,11,43,
2020-KW47,16,35,35,47,38,48,65,65,48,46,41,47,23,15,14,17,47,
