# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-01-08 08:02:14
# API-Download für Covid19-Fälle in LK Zollernalbkreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,1,2,1,1,,,,3,2,2,1,,1,,
2020-KW11,,,,,,1,1,1,1,1,3,4,2,2,5,,1,
2020-KW12,,1,3,,6,2,4,4,3,5,16,10,8,9,4,,2,
2020-KW13,1,6,4,3,11,10,21,18,13,22,33,25,18,11,12,8,20,
2020-KW14,1,1,2,2,10,12,10,12,16,21,22,24,19,9,8,12,39,
2020-KW15,,2,,6,4,13,15,8,8,11,16,12,17,12,10,10,28,
2020-KW16,,,2,3,8,10,7,6,8,10,11,11,13,7,7,7,27,
2020-KW17,,3,1,4,8,10,8,3,9,7,7,18,14,4,4,12,33,
2020-KW18,,2,3,5,4,6,5,3,2,8,3,7,7,6,6,4,20,
2020-KW19,,1,,3,3,3,2,,2,4,4,4,1,1,2,4,14,
2020-KW20,,,,,1,,,1,,,2,,1,1,2,2,2,
2020-KW21,,,,,,,,,1,3,,1,,1,2,2,6,
2020-KW22,,,,,,1,1,1,,,,,,,1,1,1,
2020-KW23,,,,1,,2,2,,,,,1,1,,1,,3,
2020-KW24,,,,,,,,,,1,,,,,,,,
2020-KW26,,1,1,,2,2,,2,1,2,,1,,,,,,
2020-KW27,,,,,,1,,,1,,1,,,,,,,
2020-KW28,,,1,1,1,,1,,2,,,1,,,,,1,
2020-KW29,,,1,,,,,1,,,,2,,,,1,,
2020-KW30,,1,4,1,,,,1,,,2,,,,,,1,
2020-KW32,,,,,1,,2,,,1,,,,,,,,
2020-KW33,,,1,1,,1,1,3,,,2,3,2,,1,1,,
2020-KW34,,,,4,7,1,4,,6,1,3,,,,,,,
2020-KW35,2,2,2,7,11,8,2,5,1,3,1,2,,,,,,
2020-KW36,2,4,,2,5,3,,4,1,1,1,,1,,1,,,
2020-KW37,,,,1,5,1,1,1,2,1,1,,4,1,2,,,
2020-KW38,,1,,1,,2,2,4,,,2,,6,1,1,,1,
2020-KW39,,,,,2,,,1,1,1,,,,1,,,,
2020-KW40,,1,3,,3,,2,1,1,2,1,2,,,,,,
2020-KW41,,,,1,1,2,5,,1,1,3,1,1,,1,,,
2020-KW42,,,,2,5,7,7,3,2,5,6,3,6,1,1,1,1,
2020-KW43,1,,1,2,7,7,5,9,7,6,8,4,7,2,5,2,4,
2020-KW44,3,1,1,6,6,11,12,12,12,15,13,19,16,6,7,5,10,
2020-KW45,3,5,7,13,27,23,15,19,15,10,20,26,13,10,13,7,7,
2020-KW46,2,6,8,14,22,19,23,15,20,16,20,11,11,8,5,5,12,
2020-KW47,3,7,7,7,14,17,19,10,8,7,13,12,7,11,2,6,26,
2020-KW48,3,7,10,5,18,21,10,12,13,10,18,13,9,3,3,,9,
2020-KW49,4,10,20,29,23,26,24,15,22,23,22,24,9,6,6,4,18,
2020-KW50,2,5,13,27,22,18,19,21,12,25,32,24,22,9,11,13,36,
2020-KW51,17,20,10,18,36,40,33,37,28,24,29,40,29,12,7,5,31,
2020-KW52,6,6,9,30,18,26,34,30,14,22,15,29,29,9,12,8,29,
2020-KW53,3,2,10,9,22,17,25,13,21,18,13,32,18,14,9,8,50,
2021-KW01,4,10,6,19,38,30,25,16,26,27,27,42,15,16,16,7,21,
2021-KW02,4,7,3,21,20,20,22,17,8,20,25,22,14,8,7,6,27,
2021-KW03,2,2,2,8,9,13,18,15,13,11,19,20,17,6,4,4,15,
2021-KW04,3,1,3,6,12,5,14,10,9,8,15,10,11,8,3,5,23,
2021-KW05,1,2,2,3,11,13,7,6,7,8,6,16,8,5,3,4,18,
2021-KW06,1,2,2,5,9,14,8,6,8,8,9,12,6,3,3,4,13,
2021-KW07,1,,3,2,3,6,12,5,8,4,9,7,5,2,1,4,10,
2021-KW08,5,3,,4,10,9,7,10,15,7,6,11,10,8,1,6,4,
2021-KW09,1,,5,6,6,5,7,4,3,9,8,14,4,6,1,2,8,
2021-KW10,2,2,2,3,5,7,11,6,6,4,9,8,1,3,1,1,6,
2021-KW11,7,5,12,11,7,16,6,15,10,7,12,7,14,7,6,6,8,
2021-KW12,10,21,12,17,20,18,17,15,12,24,29,29,13,3,7,11,3,
2021-KW13,4,4,12,11,20,16,22,21,20,15,19,24,14,8,5,2,7,
2021-KW14,4,8,7,9,23,22,18,24,15,19,21,21,11,4,4,8,9,
2021-KW15,10,8,10,23,23,30,28,31,23,24,25,26,20,15,6,2,5,
2021-KW16,7,16,25,38,44,46,40,41,38,33,40,39,34,12,5,4,11,
2021-KW17,9,15,26,40,42,29,41,49,27,42,36,39,25,15,12,8,14,
2021-KW18,14,17,24,44,46,38,40,33,33,43,41,48,24,19,13,5,8,
2021-KW19,11,15,9,21,35,35,40,33,33,28,29,30,18,11,19,7,9,
2021-KW20,8,8,20,24,30,27,27,30,19,26,22,30,25,10,8,2,3,
2021-KW21,,4,9,14,8,18,12,13,10,16,9,16,5,5,6,1,5,
2021-KW22,4,2,4,7,8,7,8,11,3,7,4,5,3,4,,,4,
2021-KW23,1,1,6,3,4,1,6,4,2,,3,5,2,,1,,1,
2021-KW24,1,,,,1,1,3,2,2,1,1,7,1,,1,,,
2021-KW25,,1,3,1,2,2,,1,1,,1,,,,1,,,
2021-KW26,,,,3,,,1,,1,,1,1,,,,,,
2021-KW27,,,,,,,,,,,1,,,,,,,
2021-KW28,,1,,4,2,1,1,1,,1,,,,,,,,
2021-KW29,,,,,2,1,1,1,,,5,1,,,,,,
2021-KW30,,,,,3,3,2,3,1,,,1,,,1,,,
2021-KW31,1,1,1,1,,3,3,2,,1,,1,,,,1,,
2021-KW32,2,2,3,2,7,7,4,2,3,,3,2,2,2,2,2,1,
2021-KW33,,1,3,7,18,6,12,8,4,9,,5,1,,,,,
2021-KW34,2,7,9,14,33,22,15,12,12,11,9,13,3,1,1,,2,
2021-KW35,10,19,14,24,34,24,17,19,23,18,13,11,14,5,1,2,3,
2021-KW36,8,14,10,33,33,20,25,25,17,17,8,16,10,8,5,3,6,
2021-KW37,15,17,23,26,15,10,14,21,17,18,9,6,4,3,,1,3,
