# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-11-19 07:44:20
# API-Download für Covid19-Fälle in SK Frankfurt am Main, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,1,2,1,2,,,,,,,,,
2020-KW11,,,,,2,8,5,5,2,1,3,1,2,1,,,,
2020-KW12,1,1,,6,6,10,16,20,16,9,9,16,7,3,3,1,1,
2020-KW13,2,1,,2,8,17,21,30,15,17,23,21,18,9,9,7,9,
2020-KW14,5,2,3,7,18,16,20,20,14,22,31,16,22,10,11,8,14,
2020-KW15,2,5,5,5,16,21,13,17,27,21,20,22,21,9,13,11,21,
2020-KW16,1,1,2,3,4,17,18,17,11,22,22,5,7,13,6,13,37,
2020-KW17,3,1,2,2,10,16,18,13,7,11,10,13,5,4,6,7,20,
2020-KW18,,,1,2,10,9,6,9,6,15,10,6,3,,5,3,6,
2020-KW19,4,1,3,1,3,12,6,9,3,2,6,3,2,2,2,,,
2020-KW20,4,3,7,8,12,13,16,14,9,10,7,8,2,1,,1,1,
2020-KW21,7,2,4,8,5,13,5,4,6,7,5,3,9,2,1,,1,
2020-KW22,3,7,7,6,7,4,7,6,5,3,4,5,3,2,1,1,,
2020-KW23,1,1,1,,1,1,2,5,3,,,1,3,,1,1,2,
2020-KW24,5,2,3,2,2,4,3,3,2,1,1,1,2,1,,,2,
2020-KW25,4,5,8,4,4,3,4,3,3,7,3,,3,1,,,3,
2020-KW26,2,2,1,2,,6,7,6,,1,1,,1,,,,2,
2020-KW27,1,1,,,3,2,2,3,3,1,2,1,1,,,,,
2020-KW28,3,2,2,2,6,7,9,6,3,3,4,1,3,2,2,2,,
2020-KW29,,,,2,4,4,10,4,7,5,4,3,3,3,2,,,
2020-KW30,1,1,,4,3,3,4,5,3,7,3,2,2,2,,3,,
2020-KW31,1,2,1,3,5,3,8,3,6,3,2,4,2,,1,,2,
2020-KW32,5,6,5,6,16,11,9,9,3,6,3,1,2,1,1,1,1,
2020-KW33,4,8,11,24,29,15,26,11,21,9,6,8,1,,2,1,,
2020-KW34,2,8,15,24,54,40,26,18,17,19,15,12,9,2,2,,,
2020-KW35,2,2,10,8,16,28,23,22,12,9,8,8,8,,1,1,,
