# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-09-01 09:03:21
# API-Download für Covid19-Inzidenzen in LK Main-Kinzig-Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,2.9,,,,,,,
2020-KW11,,,,,,,,15.6,15.25,48.33,20.28,11.33,13.46,4.07,4.62,,,
2020-KW12,,,,4.96,13.46,17.18,3.83,19.49,30.5,22.31,20.28,19.83,10.09,,,,,
2020-KW13,4.91,,,4.96,22.43,25.77,30.68,23.39,15.25,26.03,34.77,33.99,30.28,24.4,9.24,11.41,14.01,
2020-KW14,4.91,,,4.96,44.85,25.77,42.18,31.19,19.06,29.74,17.39,31.16,40.38,20.33,27.72,22.83,42.04,
2020-KW15,9.83,,5.13,14.87,22.43,34.37,19.17,27.29,30.5,26.03,17.39,36.82,40.38,16.27,32.34,22.83,49.05,
2020-KW16,,,5.13,14.87,22.43,38.66,15.34,31.19,11.44,40.9,14.49,28.33,37.01,20.33,41.58,45.66,66.57,
2020-KW17,14.74,5.16,15.38,,26.91,42.96,34.51,11.7,15.25,7.44,26.08,28.33,23.55,16.27,,28.54,35.03,
2020-KW18,4.91,,5.13,,8.97,17.18,15.34,31.19,3.81,22.31,11.59,8.5,10.09,8.13,13.86,11.41,38.54,
2020-KW19,,,,4.96,22.43,8.59,7.67,7.8,11.44,7.44,8.69,5.67,10.09,8.13,9.24,,7.01,
2020-KW20,4.91,,,14.87,4.49,4.3,7.67,7.8,7.62,3.72,11.59,11.33,6.73,8.13,4.62,5.71,7.01,
2020-KW21,9.83,15.47,15.38,24.78,17.94,4.3,15.34,3.9,3.81,3.72,2.9,5.67,6.73,,,5.71,3.5,
2020-KW22,14.74,15.47,35.88,9.91,4.49,12.89,15.34,3.9,,7.44,,2.83,,4.07,4.62,,,
2020-KW23,,,,,4.49,4.3,7.67,,3.81,,,2.83,,,,,,
2020-KW24,,,,,,,3.83,,,7.44,,,,,,,,
2020-KW25,,,,,,,3.83,,,,,2.83,3.36,,,,,
2020-KW26,9.83,15.47,5.13,,,,11.5,11.7,7.62,,5.8,,6.73,,,5.71,,
2020-KW27,4.91,15.47,10.25,,,,7.67,7.8,3.81,3.72,5.8,5.67,6.73,12.2,,,3.5,
2020-KW28,,5.16,,,8.97,4.3,7.67,7.8,,,,5.67,,,,,3.5,
2020-KW29,4.91,,,9.91,26.91,8.59,15.34,7.8,,,,2.83,,4.07,,11.41,,
2020-KW30,,,,,13.46,8.59,7.67,3.9,,7.44,,8.5,6.73,,4.62,5.71,,
2020-KW31,14.74,15.47,,,8.97,8.59,23.01,3.9,3.81,7.44,,2.83,6.73,,,,,
2020-KW32,,,15.38,24.78,31.4,12.89,11.5,19.49,7.62,7.44,2.9,2.83,3.36,,,,,
2020-KW33,4.91,15.47,,39.64,76.25,30.07,7.67,19.49,7.62,11.15,11.59,11.33,,4.07,,,3.5,
2020-KW34,24.57,30.95,35.88,54.51,49.34,30.07,42.18,42.89,34.31,14.87,14.49,14.16,6.73,,4.62,,7.01,
2020-KW35,9.83,10.32,25.63,59.46,40.37,55.84,15.34,15.6,34.31,26.03,14.49,2.83,3.36,,,,3.5,
2020-KW36,9.83,10.32,20.51,24.78,26.91,12.89,15.34,15.6,19.06,11.15,2.9,5.67,10.09,,,,3.5,
2020-KW37,4.91,10.32,25.63,14.87,35.88,30.07,15.34,15.6,19.06,14.87,11.59,2.83,3.36,,,,3.5,
2020-KW38,4.91,15.47,5.13,29.73,53.82,25.77,15.34,11.7,3.81,3.72,20.28,5.67,6.73,,,,7.01,
2020-KW39,4.91,10.32,30.76,4.96,67.28,34.37,15.34,23.39,3.81,7.44,20.28,25.49,10.09,8.13,4.62,17.12,10.51,
2020-KW40,14.74,20.63,25.63,14.87,35.88,34.37,26.84,11.7,19.06,26.03,17.39,8.5,6.73,8.13,4.62,28.54,14.01,
2020-KW41,4.91,15.47,10.25,34.69,98.68,68.73,30.68,15.6,45.75,18.59,31.87,28.33,30.28,8.13,18.48,17.12,21.02,
2020-KW42,9.83,36.11,20.51,54.51,89.71,73.03,84.36,70.18,76.25,55.77,49.26,45.32,30.28,20.33,9.24,5.71,14.01,
2020-KW43,29.48,72.21,123.03,178.39,322.94,249.15,107.37,144.26,133.43,130.13,118.81,65.15,43.74,32.53,55.44,39.95,31.53,
2020-KW44,78.62,113.48,164.04,307.23,349.85,309.29,253.09,167.65,156.31,215.64,194.15,158.62,100.94,85.39,60.06,45.66,38.54,
2020-KW45,54.05,67.06,117.91,173.44,349.85,249.15,314.44,171.55,228.75,182.18,185.45,121.8,107.67,81.33,69.3,22.83,63.06,
2020-KW46,83.53,139.27,225.56,272.55,376.77,382.32,348.95,308.0,205.87,290.0,283.98,206.78,134.58,121.99,124.75,79.9,164.66,
2020-KW47,83.53,175.38,205.05,307.23,426.1,442.46,360.46,269.02,354.56,342.05,237.61,249.26,211.97,93.53,92.4,188.35,234.73,
2020-KW48,63.88,144.43,174.3,282.46,336.4,305.0,318.28,257.32,251.62,297.43,275.28,206.78,141.31,138.26,110.89,131.27,238.24,
2020-KW49,63.88,103.16,117.91,267.59,331.91,257.74,268.43,233.93,228.75,308.58,205.74,209.61,164.87,158.59,115.51,136.98,343.34,
