# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2023-03-19 07:36:52
# API-Download für Covid19-Fälle in LK Offenbach, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,1,,,,,,,,,
2020-KW11,,1,2,,,2,1,3,3,5,3,2,3,,1,1,1,
2020-KW12,1,,,,5,2,6,6,3,3,7,11,,4,2,2,3,
2020-KW13,,,1,,6,5,5,5,8,9,8,9,6,5,5,8,8,
2020-KW14,,1,,2,3,5,5,4,1,4,9,10,6,2,5,3,10,
2020-KW15,,,2,1,3,6,6,6,7,8,6,10,10,5,5,4,23,
2020-KW16,,1,1,1,2,6,3,3,10,4,2,2,3,4,3,3,4,
2020-KW17,,,,2,2,3,1,3,,5,4,3,3,,4,3,3,
2020-KW18,,1,,4,2,10,2,1,2,4,5,6,2,,,2,4,
2020-KW19,2,,,2,3,4,1,7,1,5,8,7,2,2,1,4,3,
2020-KW20,2,1,1,2,1,3,,3,7,2,,1,,1,2,3,10,
2020-KW21,4,1,3,4,2,3,7,5,3,1,1,,1,1,1,1,3,
2020-KW22,1,1,,,1,2,1,1,,1,1,,3,,1,,1,
2020-KW23,,,,,,,1,1,,1,,,,,,,,
2020-KW24,,1,,1,1,2,,1,1,1,,3,,,,,1,
2020-KW25,,2,4,4,2,,3,3,5,1,2,,1,1,,,2,
2020-KW26,,,1,,2,,3,2,1,,1,1,,,,,,
2020-KW27,,2,,1,2,1,2,,2,2,1,,,,,,,
2020-KW28,,,,2,1,2,1,2,3,2,1,,1,,,,,
2020-KW29,2,2,1,1,1,1,2,1,5,2,,,1,1,1,,1,
2020-KW30,1,1,1,,1,3,8,2,5,6,3,2,1,,,2,,
2020-KW31,,2,,2,2,3,1,3,1,1,6,4,3,1,,,,
2020-KW32,1,4,5,9,4,3,6,12,3,11,2,,1,1,,,,
2020-KW33,2,3,3,6,5,4,5,7,3,3,5,2,1,,1,,1,
2020-KW34,,4,5,7,11,11,12,2,3,1,4,2,4,1,,,,
2020-KW35,,3,1,5,14,10,4,8,1,2,9,4,3,,,,,
2020-KW36,,1,,4,3,10,4,1,2,1,,1,1,,1,1,,
2020-KW37,,2,2,,3,6,5,6,2,6,4,3,2,,,1,,
2020-KW38,1,1,2,1,5,9,6,7,6,3,7,3,4,1,1,1,4,
2020-KW39,1,6,,5,10,7,13,7,7,7,5,5,4,2,4,1,3,
2020-KW40,8,9,7,11,11,8,7,8,5,5,7,6,3,1,,2,1,
2020-KW41,6,5,5,9,17,21,16,9,8,19,11,10,7,1,3,4,5,
2020-KW42,7,1,3,8,13,23,21,14,21,14,18,10,17,8,5,6,24,
2020-KW43,7,2,12,33,37,40,37,34,41,31,30,29,14,7,6,8,20,
2020-KW44,15,18,32,54,64,60,67,63,59,56,64,50,35,24,15,18,60,
2020-KW45,14,19,26,55,62,57,49,57,60,58,64,63,36,25,16,20,90,
2020-KW46,18,23,40,50,95,89,69,62,79,73,78,68,36,26,14,21,64,
2020-KW47,14,13,28,48,70,75,64,53,54,70,60,64,37,19,23,22,93,
2020-KW48,12,21,29,49,64,65,69,52,43,60,63,57,34,29,20,15,57,
2020-KW49,12,25,18,37,48,55,62,66,49,61,51,31,42,18,20,22,104,
2020-KW50,22,23,26,47,57,62,53,73,77,64,69,65,35,31,20,28,69,
2020-KW51,12,15,16,44,53,67,62,64,57,71,76,62,35,22,19,32,59,
2020-KW52,3,11,9,16,34,34,25,35,40,38,50,42,42,13,22,27,72,
2020-KW53,1,2,8,19,38,34,36,26,38,27,36,37,27,19,16,22,48,
2021-KW01,10,5,11,23,43,54,57,32,39,45,46,50,38,23,21,23,97,
2021-KW02,11,7,12,30,39,50,51,43,40,46,58,57,48,18,22,21,133,
2021-KW03,12,8,5,13,27,30,32,43,28,32,61,36,24,15,14,18,120,
2021-KW04,4,5,9,15,25,27,25,23,38,24,31,35,24,13,22,17,71,
