# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-04-18 08:53:47
# API-Download für Covid19-Inzidenzen in LK Märkisch-Oderland, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW08,,,,,,,,,,,,,,,10.78,,,
2020-KW11,,,10.87,,,19.65,17.17,,22.76,34.79,12.93,15.09,11.57,,10.78,11.26,,
2020-KW12,11.95,10.5,,12.45,32.78,39.31,25.75,75.26,22.76,34.79,6.47,20.12,11.57,,,33.79,6.35,
2020-KW13,,,,24.89,16.39,39.31,25.75,30.1,22.76,17.4,19.4,10.06,17.36,6.79,,11.26,19.04,
2020-KW14,,,,37.34,32.78,19.65,17.17,7.53,15.17,26.09,25.86,30.19,23.14,13.58,10.78,22.53,6.35,
2020-KW15,,,,,81.95,39.31,,7.53,22.76,52.19,,35.22,5.79,,21.55,,31.74,
2020-KW16,,10.5,10.87,,,39.31,25.75,7.53,7.59,8.7,12.93,5.03,11.57,6.79,,,12.69,
2020-KW17,,,,12.45,49.17,,17.17,7.53,7.59,,,15.09,11.57,,,,12.69,
2020-KW18,,,,12.45,32.78,117.92,17.17,15.05,,8.7,12.93,5.03,11.57,6.79,,11.26,6.35,
2020-KW19,,,,,,,8.58,,,,6.47,,,,,11.26,,
2020-KW20,,,,,,19.65,,,,,,,,,,,,
2020-KW21,,,,,16.39,19.65,8.58,,,8.7,,,,,,,,
2020-KW24,,,10.87,,,,,,7.59,,6.47,,,,,11.26,,
2020-KW25,,,,12.45,16.39,,,,7.59,8.7,6.47,,,,,,,
2020-KW26,,,,,,19.65,8.58,,,,6.47,,,,,,,
2020-KW27,,,,12.45,,19.65,,,,,,,,,,,,
2020-KW29,,,,,16.39,,8.58,,,,,,,,,,,
2020-KW30,,,,,,,8.58,,,,,,,,,,,
