# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-03-16 07:37:36
# API-Download für Covid19-Fälle in LK Coesfeld, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,4,1,,1,,1,,4,2,1,,,,,1,
2020-KW11,,,,,,3,3,1,4,1,4,9,4,,,1,,
2020-KW12,1,,,1,11,2,6,4,4,6,12,8,9,1,,1,3,
2020-KW13,,,,,6,8,20,13,17,12,28,21,15,5,5,5,12,
2020-KW14,,1,2,4,4,6,8,,6,6,21,11,10,7,2,2,9,
2020-KW15,,,1,3,3,5,1,5,7,3,11,11,4,3,3,2,11,
2020-KW16,,,,1,2,2,,,1,3,2,3,,1,,1,7,
2020-KW17,,,1,1,1,1,,,3,1,2,1,,,1,,7,
2020-KW18,,,,,1,6,6,3,7,5,7,3,2,1,,,5,
2020-KW19,,,,6,16,25,23,18,33,35,24,17,7,1,,,,
2020-KW20,,1,,1,12,8,9,8,8,13,9,5,4,1,,,1,
2020-KW21,,1,,2,3,5,10,1,2,3,5,,1,,,,,
2020-KW22,1,,1,,1,,,,,,,,,,,,,
2020-KW24,,,,1,1,1,,,1,,,,,,,,,
2020-KW25,,,,,1,,,1,,,,1,,,,,1,
2020-KW27,,,,,,2,,,,,,,1,,,,3,
2020-KW28,1,,,,,1,,,1,,,,,,,1,,
2020-KW29,,,,,,,,1,,,,,,,,,,
2020-KW30,,,1,,,,,,,,,,,,,,,
2020-KW31,,,,,1,2,1,,1,1,,,,,,,1,
2020-KW32,,,,,,,1,1,,,,,,,,,,
2020-KW33,,1,,,1,1,,1,,1,1,1,1,1,,,,
2020-KW34,,,,,,1,2,,,,,1,,,,,,
2020-KW35,,,,,,1,2,1,1,,1,1,,,,,,
2020-KW36,,,,,1,1,,,,2,,,1,,,,,
2020-KW37,1,1,,,1,1,1,2,1,,,,,,,,,
2020-KW38,2,,,,,2,2,,,2,1,,1,,,,,
2020-KW39,,,,3,1,1,1,,1,1,2,1,3,,1,,,
2020-KW40,1,1,1,3,3,5,2,2,,5,3,4,1,1,1,2,1,
2020-KW41,1,1,,4,5,10,9,7,1,3,2,7,6,2,2,1,3,
2020-KW42,,,2,9,11,4,2,,3,8,5,3,2,2,2,,1,
2020-KW43,,4,3,10,13,10,4,8,8,7,26,11,11,5,4,2,3,
2020-KW44,5,2,6,11,15,12,11,12,18,21,11,17,8,4,6,2,3,
2020-KW45,1,3,6,10,23,19,11,8,12,11,16,17,13,3,3,6,10,
2020-KW46,2,9,15,22,16,11,11,15,20,12,18,16,8,2,4,1,6,
2020-KW47,3,3,3,7,7,9,10,12,12,10,15,14,12,,4,2,6,
