# Quelle: »Robert Koch-Institut: SurvStat@RKI 2.0, https://survstat.rki.de«
# Abfragezeitpunkt: 2022-04-05 08:51:49
# API-Download für Covid19-Inzidenzen in LK Main-Taunus-Kreis, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,,,,,12.98,6.22,6.16,14.55,15.38,13.16,,,,,
2020-KW12,,,,,8.78,,21.53,19.48,12.44,61.64,48.5,20.5,19.73,33.15,8.86,9.45,,
2020-KW13,,,,,35.14,17.05,21.53,38.95,24.88,30.82,58.2,56.38,32.89,24.86,17.73,28.36,17.69,
2020-KW14,,,,24.99,87.84,17.05,,6.49,12.44,24.65,38.8,35.88,19.73,8.29,,37.81,17.69,
2020-KW15,16.82,,,,8.78,,7.18,6.49,12.44,18.49,29.1,10.25,6.58,24.86,8.86,28.36,5.9,
2020-KW16,8.41,,8.15,8.33,8.78,8.52,21.53,6.49,24.88,12.33,4.85,5.13,6.58,,8.86,28.36,,
2020-KW17,,,,16.66,43.92,8.52,,19.48,6.22,30.82,33.95,10.25,13.16,8.29,17.73,18.91,11.79,
2020-KW18,8.41,,8.15,8.33,,17.05,,,6.22,12.33,,10.25,13.16,16.57,17.73,9.45,64.85,
2020-KW19,,,,,8.78,8.52,,,,,9.7,5.13,,,,9.45,11.79,
2020-KW20,8.41,,,,,,7.18,,,6.16,,,,,8.86,9.45,5.9,
2020-KW21,,,,8.33,8.78,17.05,28.7,32.46,18.66,12.33,9.7,15.38,13.16,8.29,8.86,,17.69,
2020-KW22,,8.25,24.46,8.33,,17.05,,19.48,12.44,12.33,,5.13,,24.86,,,,
2020-KW23,8.41,,,8.33,,,,6.49,,,4.85,,,8.29,,,,
2020-KW24,,8.25,,,,8.52,,6.49,6.22,,,,,,,,,
2020-KW25,,,8.15,,,,,6.49,,,19.4,,,,,9.45,,
2020-KW26,,16.5,24.46,8.33,,8.52,7.18,,18.66,12.33,,,,,,,,
2020-KW27,,8.25,,,,8.52,7.18,6.49,12.44,,,,,,,,,
2020-KW28,,16.5,,,8.78,17.05,7.18,,,6.16,,,,,,,,
2020-KW29,8.41,,,,8.78,,,,6.22,,,,,,,,,
2020-KW30,8.41,8.25,24.46,,17.57,,21.53,19.48,,6.16,4.85,,,,8.86,9.45,,
2020-KW31,8.41,,,16.66,17.57,25.57,,,6.22,12.33,4.85,,,,,,,
2020-KW32,,,8.15,49.99,35.14,25.57,35.88,6.49,12.44,6.16,38.8,20.5,,8.29,,,11.79,
2020-KW33,8.41,8.25,16.3,,43.92,25.57,35.88,6.49,24.88,12.33,4.85,20.5,19.73,8.29,17.73,18.91,,
2020-KW34,16.82,16.5,24.46,33.33,79.06,17.05,21.53,25.97,18.66,12.33,14.55,15.38,6.58,,,,,
2020-KW35,25.23,8.25,16.3,16.66,79.06,34.09,28.7,6.49,24.88,6.16,14.55,5.13,,8.29,,,,
2020-KW36,16.82,24.75,16.3,16.66,70.27,68.19,57.4,19.48,12.44,12.33,19.4,5.13,,,8.86,,5.9,
2020-KW37,25.23,,8.15,24.99,43.92,102.28,28.7,12.98,24.88,18.49,14.55,25.63,,8.29,,,11.79,
2020-KW38,,8.25,8.15,8.33,70.27,25.57,35.88,6.49,6.22,24.65,14.55,20.5,6.58,8.29,17.73,9.45,5.9,
2020-KW39,8.41,8.25,32.61,24.99,26.35,25.57,14.35,,,12.33,9.7,10.25,19.73,,8.86,28.36,11.79,
2020-KW40,8.41,8.25,16.3,24.99,26.35,59.67,7.18,19.48,,24.65,19.4,30.75,6.58,8.29,17.73,,11.79,
2020-KW41,,,40.76,49.99,70.27,51.14,43.05,32.46,43.53,43.15,67.9,61.5,39.47,41.43,8.86,28.36,23.58,
