# Digitales Impfquotenmonitoring zur COVID-19-Impfung
# Quelle: https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Daten/Impfquoten-Tab.htm
# 
# Gemeldete Impfungen bundesweit und nach Bundesland sowie nach STIKO-Indikation
# Datenstand: 29.12.2020, 08:00 Uhr
# Die kumulative Zahl der Impfungen umfasst die mit jeweiligem Datenstand gemeldeten Impfungen an das RKI. 
# Die Impfquote ist der Anteil aller bisher Geimpften in der Gesamtbevölkerung. 
# Für die Berechnung der Impfquote wurde der Bevölkerungsstand vom 31.12.2019 zugrunde gelegt (Quelle: Statistisches Bundesamt, https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Bevoelkerungsstand/Tabellen/bevoelkerung-nichtdeutsch-laender.html).
# Achtung: Die Differenz zum Vortag kann Nachmeldungen aus vorangegangenen Tagen enthalten und spiegelt nicht immer die innerhalb des Vortags tatsächlich durchgeführte Zahl der Impfungen wider. 
# Anmerkung zu den Indikationen: es können mehrere Indikationen je geimpfter Person vorliegen
# * in einigen Bundesländern werden nicht alle der in der Tabelle aufgeführten Indikationen einzeln ausgewiesen
# ** einschl. Korrekturmeldung vom 27.12.20
# 
Bundesland,Impfungen kumulativ,Differenz zum Vortag,Indikation nach Alter*,Berufliche Indikation*,Medizinische Indikation*,Pflegeheim-bewohnerIn*
Baden-Württemberg**,4721,2560,1720,1877,326,192
Bayern,5219,1830,1457,1830,91,2423
Berlin,3839,2213,3340,517,105,3322
Brandenburg**,107,75,60,47,,60
Bremen**,592,174,276,133,,278
Hamburg,1071,626,507,471,,600
Hessen,4354,1242,1480,2425,287,1702
Mecklenburg-Vorpommern,4170,3488,100,1862,2,2209
Niedersachsen,835,501,79,370,141,552
Nordrhein-Westfalen,7136,518,,1788,,5348
Rheinland-Pfalz,1462,210,,715,,747
Saarland,862,647,658,51,,466
Sachsen,857,675,240,551,1,305
Sachsen-Anhalt,3985,2481,1592,1678,124,2292
Schleswig-Holstein,2495,1686,588,528,584,1136
Thüringen,257,158,135,121,,135
Gesamt,41962,19084,12232,14964,1661,21767
