# Quelle: Robert Koch-Institut, SurvStat@RKI 2.0, https://survstat.rki.de
# Abfragezeitpunkt: 2020-11-11 16:31:29
# API-Download für Covid19-Fälle in Baden-Württemberg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW01,,,,,,,,,,1,,,,,,,,
2020-KW09,,,,1,2,1,4,,4,1,1,3,1,2,,,,
2020-KW10,2,2,7,19,4,10,9,12,19,29,42,16,15,7,4,5,8,
2020-KW11,8,7,29,44,70,122,116,103,131,128,188,154,89,54,36,19,30,
2020-KW12,20,29,58,115,277,421,372,334,353,374,571,524,342,204,135,130,195,
2020-KW13,61,43,64,167,461,535,526,472,466,627,798,843,573,390,311,321,508,
2020-KW14,34,35,62,217,422,527,453,447,477,577,767,802,562,371,286,359,1044,
2020-KW15,34,35,49,135,319,383,324,307,317,361,512,480,347,197,179,254,1018,
2020-KW16,24,24,37,91,227,239,214,164,212,204,267,296,252,113,116,141,567,
2020-KW17,22,23,15,62,181,183,165,154,149,187,200,214,146,85,70,111,446,
2020-KW18,22,17,24,45,92,90,84,69,58,81,88,103,82,56,53,62,177,
2020-KW19,24,15,11,45,59,78,65,51,60,54,78,55,47,34,32,51,135,
2020-KW20,4,7,8,15,57,52,42,49,33,37,59,40,36,17,23,25,106,
2020-KW21,9,5,5,11,30,30,26,21,28,25,22,28,21,14,16,16,94,
2020-KW22,8,6,3,10,23,26,24,23,18,16,23,30,20,13,12,10,43,
2020-KW23,9,5,2,5,13,19,23,11,10,10,14,11,11,3,3,7,22,
2020-KW24,2,5,3,5,25,16,15,14,4,18,13,12,5,5,8,5,14,
2020-KW25,4,10,13,9,14,16,10,18,23,7,15,11,6,5,7,5,14,
2020-KW26,7,10,18,17,12,23,28,14,19,29,21,17,7,6,7,7,23,
2020-KW27,12,8,8,9,11,29,18,20,17,19,11,14,12,6,3,2,9,
2020-KW28,13,8,11,16,24,17,26,18,26,23,16,15,8,14,4,4,5,1
2020-KW29,17,14,21,30,41,31,34,33,31,24,37,26,13,10,2,7,7,2
2020-KW30,13,22,28,35,39,45,43,37,46,51,39,28,20,10,12,9,10,1
2020-KW31,11,13,31,43,50,50,50,48,42,37,38,26,20,8,10,6,11,
2020-KW32,23,14,14,39,61,65,53,36,29,26,30,22,15,10,6,4,4,1
2020-KW33,15,19,23,76,144,134,61,66,51,54,46,28,28,9,11,6,5,
2020-KW34,46,37,82,148,347,234,181,123,131,125,88,62,24,13,11,6,14,5
2020-KW35,31,70,84,187,293,249,165,153,146,126,110,65,34,29,13,11,12,2
2020-KW36,40,80,98,149,255,187,179,133,146,140,117,67,51,21,12,12,15,3
2020-KW37,40,68,108,151,218,166,142,124,123,150,118,87,55,20,31,16,18,2
2020-KW38,48,69,91,150,231,220,202,139,139,131,148,113,78,58,33,15,40,5
2020-KW39,49,55,87,141,223,192,167,127,111,104,126,127,86,45,47,33,71,5
2020-KW40,46,53,102,212,217,225,186,134,141,140,142,139,82,54,44,29,60,9
2020-KW41,58,116,198,316,361,371,338,271,275,285,323,258,151,88,90,68,157,11
2020-KW42,112,153,295,418,560,611,506,442,420,414,484,378,297,184,131,115,257,11
2020-KW43,173,238,396,760,1047,927,919,706,632,766,832,786,525,307,238,211,521,22
2020-KW44,264,290,390,788,1430,1494,1289,989,1022,1132,1375,1270,861,470,377,294,753,68
2020-KW45,288,375,519,959,1677,1617,1367,1164,1087,1217,1541,1351,973,593,436,390,904,60
2020-KW46,51,63,101,176,287,276,217,191,193,220,254,252,153,92,80,70,149,24
