# Quelle: Robert Koch-Institut, SurvStat@RKI 2.0, https://survstat.rki.de
# Abfragezeitpunkt: 2021-02-12 06:23:32
# API-Download für Covid19-Fälle in Bayern, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW05,1,,,,,1,2,2,1,,1,,,,,,,
2020-KW06,1,,,,,2,1,1,,1,,1,,,,,,
2020-KW07,1,,,,,,,,1,1,,,,,,,,
2020-KW08,,,,,,1,,,,,,,,,,,,
2020-KW09,,,,,1,,1,1,1,2,1,1,1,,,,,
2020-KW10,1,3,5,6,8,6,9,10,16,22,25,11,4,3,,,3,
2020-KW11,4,22,49,54,62,114,61,81,90,134,142,112,57,34,26,26,39,
2020-KW12,47,55,68,137,315,427,436,384,374,462,607,540,312,168,167,140,213,
2020-KW13,88,97,126,334,625,704,713,638,639,790,1021,923,627,392,384,392,761,
2020-KW14,108,112,161,361,722,734,734,677,697,815,1115,1055,860,491,460,548,1256,
2020-KW15,70,79,87,260,501,529,478,451,426,527,757,744,519,354,359,364,1102,1
2020-KW16,48,49,83,165,304,338,288,256,262,310,435,451,307,171,174,242,851,1
2020-KW17,52,32,40,95,285,259,229,169,173,197,243,245,145,122,100,152,536,
2020-KW18,35,41,34,52,168,179,120,106,105,90,146,141,80,59,58,77,258,
2020-KW19,24,21,32,49,112,116,99,95,70,84,88,104,59,44,43,61,186,
2020-KW20,19,18,10,32,107,92,89,80,83,75,68,100,62,25,36,41,154,
2020-KW21,25,18,17,18,80,89,69,55,49,50,53,66,31,30,22,24,76,
2020-KW22,19,19,14,32,63,83,54,44,30,31,41,46,24,30,15,17,61,1
2020-KW23,4,9,4,16,29,36,21,22,23,19,21,29,13,10,8,6,44,
2020-KW24,10,9,6,9,32,36,36,33,20,11,19,11,9,3,3,7,15,
2020-KW25,12,7,11,20,26,32,28,20,24,12,18,15,10,7,8,5,13,
2020-KW26,11,15,20,8,29,41,44,36,27,23,26,16,20,9,8,9,21,
2020-KW27,26,21,16,19,58,63,52,36,34,33,32,26,12,8,9,6,9,
2020-KW28,43,26,29,31,49,53,44,47,41,32,31,21,18,5,14,7,11,
2020-KW29,23,24,16,39,66,54,56,47,34,32,37,28,17,17,10,7,18,
2020-KW30,27,25,34,36,78,77,72,78,68,62,62,35,23,15,7,5,11,
2020-KW31,23,16,26,37,65,81,73,53,71,74,58,38,15,12,11,5,24,
2020-KW32,21,16,20,47,112,103,64,48,63,64,61,33,18,10,10,6,8,
2020-KW33,32,33,47,118,274,174,90,97,111,94,71,42,30,24,11,4,19,
2020-KW34,47,87,123,266,375,254,196,151,175,147,106,76,34,19,13,16,18,1
2020-KW35,59,98,143,252,358,280,185,178,156,145,131,68,42,21,13,7,27,1
2020-KW36,68,104,134,218,334,278,209,198,189,160,145,90,45,25,23,8,19,
2020-KW37,74,96,136,280,363,359,222,194,190,186,176,132,77,52,36,36,50,
2020-KW38,83,103,120,236,409,383,282,206,188,212,195,183,97,70,59,42,63,
2020-KW39,73,87,83,145,253,289,242,195,142,153,190,145,96,54,51,28,57,3
2020-KW40,48,56,77,177,262,262,262,160,155,160,198,165,111,80,54,30,60,
2020-KW41,92,69,142,288,396,381,357,254,234,306,306,270,184,93,92,72,151,2
2020-KW42,130,117,297,545,706,714,579,452,438,487,619,477,318,195,158,130,264,6
2020-KW43,267,337,518,834,1211,1233,1085,844,846,960,1098,998,605,374,314,266,411,4
2020-KW44,405,492,735,1256,1817,1771,1593,1317,1266,1455,1750,1494,1042,626,505,447,970,13
2020-KW45,470,620,844,1440,2234,2172,1928,1639,1611,1809,2188,1960,1296,808,693,572,1394,28
2020-KW46,533,680,978,1622,2043,2210,2110,1753,1742,1758,2176,2054,1392,830,679,627,1666,15
2020-KW47,531,815,952,1484,1974,1966,1817,1706,1637,1759,2048,1946,1380,771,703,599,2122,25
2020-KW48,580,895,1056,1531,1896,1933,1758,1669,1662,1775,2029,1864,1341,771,615,673,2376,18
2020-KW49,541,838,1119,1551,1817,1835,1785,1689,1655,1748,1963,1879,1413,693,633,721,2447,20
2020-KW50,522,847,1144,1651,2048,2031,1955,1879,1876,1978,2387,2327,1622,887,832,905,3259,26
2020-KW51,620,850,1063,1516,2295,2189,2104,1995,1902,2093,2553,2385,1729,999,881,1022,3337,25
2020-KW52,423,624,684,1007,1582,1731,1591,1509,1578,1483,1960,1953,1389,812,745,774,2802,34
2020-KW53,346,474,618,978,1638,1655,1649,1451,1382,1596,1821,1842,1373,797,684,748,2872,15
2021-KW01,338,534,642,1100,1766,1883,1775,1549,1445,1535,1814,1775,1273,797,732,712,2721,18
2021-KW02,316,417,528,935,1461,1550,1378,1245,1248,1323,1509,1455,1074,648,573,658,2520,17
2021-KW03,306,331,387,710,1029,1106,1027,978,958,1012,1288,1257,916,513,441,459,1706,7
2021-KW04,259,303,303,576,935,1002,923,803,809,934,1068,1095,801,482,391,371,1312,5
2021-KW05,274,295,302,506,764,792,770,671,695,762,906,942,627,364,341,293,918,6
2021-KW06,75,85,75,145,240,255,208,220,211,229,277,285,176,101,95,88,290,4
