# Quelle: Robert Koch-Institut, SurvStat@RKI 2.0, https://survstat.rki.de
# Abfragezeitpunkt: 2021-09-26 05:33:18
# API-Download für Covid19-Fälle in Bayern, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW05,1,,,,,2,2,1,1,,1,,,,,,,
2020-KW06,1,,,,,1,1,1,,1,,1,,,,,,
2020-KW07,1,,,,,,,,,1,,,,,,,,
2020-KW08,,,,,1,,,,,,,,,,,,,
2020-KW09,,,,,1,,1,1,1,2,1,1,1,,,,,
2020-KW10,1,3,4,7,8,6,9,10,16,22,25,11,4,3,,,3,
2020-KW11,4,22,49,54,62,115,61,81,90,135,141,110,59,33,25,26,39,
2020-KW12,47,55,68,137,314,427,436,384,375,461,612,537,314,168,165,140,214,
2020-KW13,88,97,126,333,623,702,712,640,635,789,1019,920,627,394,384,391,758,
2020-KW14,107,110,162,357,722,735,729,677,697,809,1115,1055,856,491,458,548,1254,
2020-KW15,70,79,85,262,493,529,476,452,426,530,753,742,518,354,353,367,1104,1
2020-KW16,46,49,81,167,303,337,288,258,258,311,438,449,306,168,174,243,846,1
2020-KW17,52,33,40,95,281,259,225,170,172,199,240,245,146,122,100,152,531,
2020-KW18,35,40,34,53,167,179,119,107,104,90,146,141,80,59,57,77,257,
2020-KW19,24,21,33,48,111,116,98,95,70,84,88,103,59,44,43,61,186,
2020-KW20,19,18,10,32,107,92,89,79,82,76,67,100,62,25,35,42,154,
2020-KW21,24,17,17,18,80,88,69,53,49,49,53,66,32,29,22,24,76,
2020-KW22,19,18,15,32,63,82,53,45,29,31,41,46,24,30,15,17,61,
2020-KW23,4,9,4,16,29,35,22,21,23,17,21,29,13,10,8,6,44,
2020-KW24,10,9,6,9,32,35,37,33,20,11,19,11,9,3,3,7,15,
2020-KW25,12,7,11,20,25,33,28,20,24,12,18,15,10,7,8,5,13,
2020-KW26,11,15,20,8,29,41,44,37,27,23,26,17,20,9,8,9,21,
2020-KW27,26,20,16,19,58,62,54,35,34,33,32,26,13,8,9,6,9,
2020-KW28,43,26,30,32,49,54,44,46,41,33,31,21,19,5,14,7,11,
2020-KW29,23,24,15,39,65,55,55,48,34,32,36,29,17,17,11,7,17,
2020-KW30,27,25,34,36,78,77,72,77,69,62,62,35,23,15,7,5,11,
2020-KW31,23,16,26,38,65,81,73,53,72,74,58,38,15,12,11,5,24,
2020-KW32,21,16,20,47,115,102,66,47,62,64,60,34,18,10,10,6,8,
2020-KW33,32,33,47,119,269,176,93,96,111,95,70,41,29,24,11,4,19,
2020-KW34,49,87,123,268,372,253,196,151,177,145,106,75,34,19,14,16,18,
2020-KW35,59,98,143,254,362,282,184,178,155,146,131,70,42,19,13,7,26,1
2020-KW36,67,103,137,216,334,280,211,193,189,160,143,91,46,25,23,8,19,
2020-KW37,74,98,135,279,361,359,222,192,189,187,175,130,80,51,36,36,49,
2020-KW38,83,103,119,237,405,382,283,209,188,212,196,182,95,70,59,42,62,
2020-KW39,72,88,82,146,253,289,242,194,142,154,190,145,96,54,53,28,57,
2020-KW40,48,56,75,179,260,266,261,159,157,161,198,167,111,79,55,30,58,
2020-KW41,92,69,141,292,397,376,358,253,234,307,308,269,185,95,90,70,150,
2020-KW42,134,119,297,545,708,714,578,451,437,485,622,478,319,193,160,130,265,2
2020-KW43,263,340,521,841,1216,1231,1086,844,849,960,1100,998,601,371,314,265,410,
2020-KW44,399,493,728,1254,1810,1773,1592,1316,1266,1462,1747,1483,1039,626,504,444,967,
