# Quelle: Robert Koch-Institut, SurvStat@RKI 2.0, https://survstat.rki.de
# Abfragezeitpunkt: 2021-06-19 05:42:12
# API-Download für Covid19-Fälle in Sachsen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,2,,3,1,,,3,1,,,
2020-KW11,2,1,2,5,3,20,12,18,13,15,28,20,12,11,5,2,3,
2020-KW12,10,7,6,11,49,65,87,78,48,63,94,77,50,42,16,23,16,
2020-KW13,9,16,11,30,59,75,91,78,72,101,123,108,76,59,47,43,60,
2020-KW14,8,12,11,38,60,57,59,76,76,71,121,134,96,62,46,52,213,
2020-KW15,6,6,13,31,42,42,49,52,47,65,67,93,56,36,15,47,116,
2020-KW16,2,10,5,16,26,13,23,25,22,21,41,35,32,14,13,19,70,
2020-KW17,5,2,3,6,15,18,22,16,7,17,22,23,16,12,6,14,49,
2020-KW18,2,2,,10,11,7,11,8,12,15,18,20,8,4,5,8,44,
2020-KW19,3,4,2,6,15,12,10,16,13,15,18,18,14,12,9,12,38,
2020-KW20,6,6,3,6,11,6,15,15,10,6,16,10,11,7,2,4,25,
2020-KW21,4,4,4,5,3,5,8,5,9,5,11,4,10,3,1,4,22,
2020-KW22,2,5,3,2,2,4,3,7,5,4,4,5,5,2,5,2,11,
2020-KW23,1,2,,,3,,3,,,2,1,4,1,4,2,2,3,
2020-KW24,,,,2,1,1,1,4,,,,,2,1,1,2,4,
2020-KW25,3,6,16,15,2,3,4,4,8,6,3,4,2,2,,1,,
2020-KW26,,1,1,2,,,3,4,2,1,4,2,,2,1,,1,
2020-KW27,,,1,,2,1,1,,5,1,2,1,,,,,,
2020-KW28,,,1,,2,1,2,4,2,2,1,,,2,,,,
2020-KW29,,1,1,,3,1,3,1,3,3,,2,,,,,,
2020-KW30,2,,5,4,1,3,,5,,1,1,2,2,,1,2,2,
2020-KW31,,5,,5,2,3,1,2,,2,1,3,3,1,2,,2,
2020-KW32,,,,7,18,9,7,8,3,7,9,13,15,7,3,,1,
2020-KW33,2,4,2,13,14,5,12,5,9,5,4,5,4,2,1,1,1,
2020-KW34,4,4,4,9,15,9,10,10,8,8,3,6,4,1,1,1,,
2020-KW35,4,6,7,8,16,17,17,17,12,8,13,4,4,2,2,,2,
2020-KW36,3,3,11,28,26,25,17,16,13,7,10,15,8,6,4,2,7,
2020-KW37,3,12,9,18,26,14,35,14,18,17,14,23,15,22,9,12,23,
2020-KW38,7,8,8,25,29,29,32,15,22,16,28,29,34,14,15,18,46,
2020-KW39,,4,19,23,29,26,29,29,21,24,31,29,29,23,19,32,47,
2020-KW40,4,8,11,40,36,29,25,35,20,27,27,35,33,23,28,26,43,
2020-KW41,10,29,57,64,87,81,93,59,70,90,103,98,72,56,24,55,81,
2020-KW42,26,40,86,97,119,116,147,138,156,118,175,189,167,86,58,83,289,
2020-KW43,35,69,110,143,197,181,259,211,261,240,323,362,261,162,131,157,489,
2020-KW44,72,95,115,210,300,289,458,403,390,420,586,692,465,281,288,272,859,
2020-KW45,92,133,164,290,383,327,532,564,541,556,746,804,579,402,288,369,1050,
2020-KW46,78,128,214,330,393,354,523,547,539,561,804,849,630,345,275,355,1015,
2020-KW47,79,208,272,417,406,374,638,675,664,682,797,938,668,408,314,431,1287,
2020-KW48,99,228,361,532,527,484,825,848,871,842,1004,1157,853,449,364,475,1754,
2020-KW49,126,250,426,666,711,588,940,1034,1015,1022,1154,1293,1020,613,459,599,2437,
2020-KW50,146,261,458,762,832,732,1288,1318,1308,1312,1641,1766,1328,735,537,720,2679,
