# Quelle: Robert Koch-Institut, SurvStat@RKI 2.0, https://survstat.rki.de
# Abfragezeitpunkt: 2021-10-12 05:34:04
# API-Download für Covid19-Fälle in Sachsen-Anhalt, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW11,,,,3,3,1,4,6,1,3,4,6,4,4,2,4,1,
2020-KW12,,4,2,4,16,13,28,19,17,27,32,23,13,3,6,11,8,
2020-KW13,3,2,3,10,23,20,26,18,39,36,48,30,20,25,22,12,38,
2020-KW14,2,1,5,12,19,21,26,20,21,28,25,43,23,16,8,14,43,
2020-KW15,4,3,9,7,9,17,15,21,12,11,23,27,18,8,3,5,32,
2020-KW16,2,,2,9,12,27,15,14,12,11,19,13,10,7,7,7,13,
2020-KW17,1,3,,5,13,11,5,6,4,7,8,16,6,5,2,9,33,
2020-KW18,,,,2,4,5,8,3,2,3,6,3,3,3,4,5,16,
2020-KW19,3,,,3,5,5,4,3,2,4,,3,3,2,2,4,17,
2020-KW20,1,1,,1,3,1,2,,2,2,1,2,1,3,4,6,4,
2020-KW21,,,,1,,1,,,,1,1,1,,2,1,1,6,
2020-KW22,1,,,,,,1,,1,1,2,2,,1,2,,2,
2020-KW23,1,,,,2,2,2,,,,3,,,1,,,2,
2020-KW24,3,6,2,4,5,6,3,6,9,1,1,,2,1,,,1,
2020-KW25,12,13,8,6,3,8,7,6,8,1,3,2,1,1,1,,,
2020-KW26,2,,1,,1,3,1,3,1,1,4,4,,1,,,,
2020-KW27,1,1,2,,1,2,4,3,,3,1,1,1,1,,,1,
2020-KW28,3,1,1,2,7,1,2,3,,,2,,1,1,1,,,
2020-KW29,1,1,1,2,7,1,3,1,3,1,3,4,5,1,,1,2,
2020-KW30,1,,2,2,,1,4,3,3,1,1,6,5,2,,3,2,
2020-KW31,1,1,1,1,1,3,7,4,3,3,5,3,3,1,1,,2,
2020-KW32,1,1,2,1,4,2,3,3,3,3,1,1,3,3,3,,1,
2020-KW33,1,4,1,2,17,3,7,2,1,3,6,2,3,1,1,,5,
2020-KW34,3,2,5,2,9,3,4,5,9,7,2,2,4,1,2,,2,
2020-KW35,2,1,5,8,3,3,8,5,7,3,3,2,1,2,1,2,1,
2020-KW36,2,1,4,4,1,7,5,3,2,3,2,3,,1,1,1,4,
2020-KW37,4,,2,10,9,3,7,4,6,5,2,9,,,2,4,4,
2020-KW38,4,1,15,9,4,4,8,6,6,11,10,6,4,,1,2,8,1
2020-KW39,2,3,7,11,12,11,4,12,7,12,24,14,7,4,6,10,11,
2020-KW40,1,7,4,10,9,6,8,5,6,7,10,8,12,15,6,22,22,
2020-KW41,4,5,12,19,9,11,14,8,8,15,10,11,8,13,18,12,15,
2020-KW42,5,10,11,21,27,23,34,24,16,37,23,35,32,13,13,13,21,
