# Quelle: Robert Koch-Institut, SurvStat@RKI 2.0, https://survstat.rki.de
# Abfragezeitpunkt: 2022-08-17 08:43:14
# API-Download für Covid19-Fälle in Thüringen, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,,,1,,1,,,,
2020-KW11,,1,,3,5,2,4,4,9,8,6,2,5,,1,,,
2020-KW12,4,5,3,10,28,21,24,22,28,25,35,26,11,7,15,5,12,
2020-KW13,3,1,5,6,33,24,39,28,36,31,51,55,27,22,17,20,40,
2020-KW14,4,4,2,8,11,13,25,32,24,34,44,55,36,22,24,27,49,
2020-KW15,1,1,1,13,13,17,27,17,21,23,32,44,21,18,16,17,34,
2020-KW16,,2,5,13,17,17,18,15,15,23,16,30,16,12,12,16,59,
2020-KW17,3,2,1,10,19,15,24,21,17,22,32,25,19,21,18,22,53,
2020-KW18,1,1,,7,16,5,11,10,14,18,14,25,16,9,10,27,60,
2020-KW19,,,4,10,9,14,11,10,11,10,16,22,20,8,13,12,59,
2020-KW20,,2,5,2,6,2,10,10,13,6,18,22,8,5,5,11,30,
2020-KW21,1,1,,4,,6,5,10,11,16,19,12,10,8,6,5,15,
2020-KW22,1,3,4,3,6,4,6,9,11,6,7,11,12,8,5,15,38,
2020-KW23,1,3,3,4,4,1,2,6,6,10,6,7,3,4,5,1,8,
2020-KW24,2,,2,,5,2,2,6,3,5,5,10,7,5,2,3,24,
2020-KW25,3,1,1,,,2,3,4,4,2,2,3,4,1,3,3,6,
2020-KW26,1,,,,2,1,,1,,1,1,2,2,,,1,7,
2020-KW27,,1,1,,1,,4,5,,1,1,1,1,2,1,1,2,
2020-KW28,1,,1,3,,1,4,1,1,,,,2,3,1,1,3,
2020-KW29,1,,,1,2,3,5,2,2,3,5,1,2,1,,,1,
2020-KW30,1,2,5,,,2,4,,,1,1,4,1,1,,,3,
2020-KW31,,2,1,1,1,1,3,1,2,3,2,2,1,2,1,2,5,
2020-KW32,4,1,,6,11,1,7,7,2,2,2,,2,2,,,4,
2020-KW33,1,1,3,11,11,4,7,4,7,3,3,7,1,2,1,,5,
2020-KW34,2,3,5,6,3,6,3,5,3,2,5,6,1,2,2,,3,
2020-KW35,2,3,10,12,13,3,4,3,6,6,2,2,1,2,1,1,1,
2020-KW36,,3,5,10,11,3,6,3,5,8,2,3,3,2,1,,3,
2020-KW37,2,2,2,4,5,14,10,6,5,4,4,8,5,4,4,22,10,
2020-KW38,,2,2,9,3,9,10,15,12,6,10,12,11,6,5,9,17,
2020-KW39,,1,8,9,10,5,7,12,11,3,5,8,8,6,8,4,8,
2020-KW40,2,3,8,4,11,9,14,12,13,9,10,10,12,4,4,10,19,
2020-KW41,1,2,12,14,12,9,18,16,15,12,16,16,27,24,16,11,20,
2020-KW42,3,7,6,35,39,35,28,28,29,33,48,45,45,35,16,27,35,
2020-KW43,17,30,23,38,64,62,86,66,55,59,70,90,82,50,35,35,121,
2020-KW44,21,27,20,52,84,74,103,109,102,92,123,138,102,75,46,52,150,
2020-KW45,32,41,62,109,103,87,120,118,127,132,131,195,105,94,62,72,170,
2020-KW46,36,61,67,100,134,76,152,110,119,120,198,223,158,93,61,82,229,
2020-KW47,47,74,129,151,133,123,187,193,197,185,244,272,230,117,88,112,397,1
2020-KW48,45,107,159,184,137,131,232,231,225,242,280,285,247,137,87,92,391,
2020-KW49,59,123,190,207,150,166,270,297,271,260,364,410,279,162,121,137,507,
2020-KW50,71,143,159,220,221,251,411,445,339,397,462,564,403,203,177,202,654,
2020-KW51,82,145,136,220,309,252,445,460,477,470,600,656,515,313,215,294,928,
2020-KW52,54,97,100,171,317,266,411,462,443,472,547,647,497,340,221,280,944,1
2020-KW53,52,56,83,158,267,193,375,360,354,426,518,598,452,262,223,263,860,
2021-KW01,66,76,104,254,371,340,529,489,479,432,619,664,553,337,273,285,1031,1
2021-KW02,83,85,98,253,288,268,433,381,385,385,553,653,467,274,209,250,942,
2021-KW03,77,60,80,159,192,170,294,310,287,314,393,457,397,193,148,169,719,
2021-KW04,51,57,62,153,151,146,226,267,229,236,329,376,289,142,104,135,512,
2021-KW05,55,70,57,98,152,123,214,230,215,212,273,312,245,169,123,123,391,
2021-KW06,31,44,52,68,123,107,178,150,155,141,230,232,154,110,85,91,286,
2021-KW07,54,50,46,103,145,126,191,185,168,206,244,278,202,123,127,128,376,1
2021-KW08,73,82,57,114,130,98,210,190,183,193,209,300,227,150,106,121,322,
2021-KW09,160,199,99,116,122,115,236,247,200,188,239,267,229,118,91,102,231,
2021-KW10,175,209,131,171,161,138,308,335,268,224,288,341,263,153,121,89,281,
2021-KW11,165,210,170,205,209,187,391,371,310,314,394,468,340,215,146,149,298,2
2021-KW12,139,229,206,277,279,216,394,448,406,357,469,490,421,241,207,154,274,5
2021-KW13,137,204,151,232,249,208,394,416,375,363,432,506,446,259,198,152,267,1
2021-KW14,135,139,142,205,303,247,374,369,346,384,456,537,419,290,193,174,247,2
2021-KW15,143,172,229,344,281,305,397,391,417,340,478,526,440,290,189,151,288,
2021-KW16,152,215,197,295,308,243,380,404,377,347,429,484,402,283,164,135,234,1
2021-KW17,152,206,201,280,262,209,388,380,358,330,412,473,363,244,162,118,178,
2021-KW18,104,158,183,233,213,195,303,301,315,275,341,397,317,210,120,92,185,
2021-KW19,92,135,144,154,154,104,197,211,196,191,244,253,220,128,91,77,116,
2021-KW20,85,91,111,114,98,102,163,163,167,144,168,195,166,102,85,60,92,
2021-KW21,34,44,42,72,56,54,78,73,65,66,77,84,87,53,48,25,49,
2021-KW22,19,26,36,41,38,25,60,52,40,38,41,53,52,41,10,15,41,
2021-KW23,15,21,16,18,19,18,27,23,22,21,20,28,22,11,12,13,31,
2021-KW24,10,13,7,10,10,6,14,21,12,11,8,10,8,7,6,3,6,
2021-KW25,3,4,10,2,5,4,5,9,5,5,3,6,5,3,5,2,5,
2021-KW26,2,4,9,9,13,4,6,9,,7,4,7,1,1,2,2,3,
2021-KW27,,5,8,4,1,3,3,6,6,2,3,4,1,,1,2,4,
2021-KW28,4,6,15,3,4,8,6,5,11,3,8,7,4,2,1,,3,
2021-KW29,2,7,26,16,7,4,9,10,6,12,7,1,7,2,4,5,6,
2021-KW30,5,10,18,16,13,6,10,10,11,5,8,4,3,1,2,1,3,
2021-KW31,2,6,15,28,18,10,15,7,7,9,5,7,4,2,5,2,8,
2021-KW32,5,5,14,29,20,10,14,14,10,8,9,10,3,11,5,4,5,
2021-KW33,12,22,27,35,28,20,32,26,33,23,16,10,12,9,3,5,4,
2021-KW34,27,33,39,45,56,30,47,42,45,26,26,21,16,15,9,4,8,
2021-KW35,41,51,48,63,56,43,51,66,49,64,48,39,34,22,13,9,25,
2021-KW36,38,71,73,90,72,63,87,99,80,82,65,57,53,33,15,11,22,
2021-KW37,74,131,139,87,92,81,84,103,79,76,64,69,41,30,28,16,27,
2021-KW38,42,150,132,96,58,52,97,129,89,77,66,66,58,26,15,10,39,
2021-KW39,46,149,215,157,79,72,110,135,148,118,89,98,65,45,36,17,96,
2021-KW40,64,194,361,187,103,85,135,176,169,115,126,104,80,53,37,40,91,
2021-KW41,70,227,470,266,159,114,201,242,243,213,156,144,124,92,69,59,185,
2021-KW42,110,392,660,445,245,171,343,421,400,312,285,275,201,139,112,77,318,
2021-KW43,137,432,715,485,340,294,487,588,573,458,476,460,324,201,166,148,395,3
2021-KW44,216,517,664,564,413,379,654,864,811,704,722,694,618,346,285,220,623,2
2021-KW45,330,692,716,779,545,506,932,1034,985,802,889,931,772,516,362,279,718,8
2021-KW46,372,949,1034,872,745,579,1176,1231,1202,946,1168,1142,912,556,460,351,903,14
2021-KW47,534,1466,1735,1216,914,753,1612,1884,1679,1324,1511,1460,1206,717,531,399,951,12
2021-KW48,630,1896,2126,1370,1005,883,1834,2131,2040,1544,1566,1617,1267,804,516,417,872,20
2021-KW49,706,1976,2017,1365,961,889,1778,2152,2041,1469,1528,1598,1252,816,526,364,842,13
2021-KW50,629,1615,1573,1074,740,700,1414,1745,1583,1161,1231,1202,939,621,413,287,738,8
2021-KW51,454,1016,994,656,507,509,1024,1166,1082,715,790,843,652,419,272,193,477,5
2021-KW52,280,629,705,448,461,354,799,952,856,530,618,655,442,318,203,129,341,1
2022-KW01,236,415,485,469,548,481,761,755,619,510,590,580,421,316,203,127,281,4
2022-KW02,158,295,286,288,320,327,396,408,351,285,313,304,233,110,93,69,137,1
2022-KW03,300,583,606,423,434,390,607,663,574,400,437,363,271,143,76,57,199,
2022-KW04,408,1000,1092,672,574,570,895,1059,915,647,643,584,449,239,118,64,178,4
2022-KW05,616,1676,1949,1306,884,807,1452,1677,1556,1053,993,932,669,324,186,122,274,13
2022-KW06,854,1889,2173,1742,1346,1084,1939,2243,2024,1416,1371,1233,950,419,263,172,433,11
2022-KW07,957,1874,2000,1748,1423,1276,2189,2558,2248,1625,1605,1536,1095,561,327,189,531,17
2022-KW08,1113,1978,1975,2022,1701,1412,2570,2870,2581,1945,1970,2079,1474,732,505,320,791,13
2022-KW09,1344,2589,2558,2250,2005,1505,2731,3089,2700,2029,2088,2226,1657,836,555,350,1075,11
2022-KW10,1774,3719,3918,3123,2509,2060,3645,4329,3757,2703,2849,2857,2105,1139,749,508,1346,20
2022-KW11,1659,3186,3823,3475,2821,2248,3938,4644,4332,3163,3574,3595,2785,1498,1016,665,1660,34
2022-KW12,1635,2954,3587,3291,2722,2199,3661,4391,4144,3152,3680,3848,2995,1592,1081,798,1969,25
2022-KW13,1304,2477,2804,2819,2479,2121,3361,3807,3669,2780,3210,3469,2651,1401,978,646,1543,61
2022-KW14,974,1628,1912,1969,1955,1793,2730,2912,2643,2182,2504,2581,1881,927,670,466,1195,127
2022-KW15,554,798,922,977,1329,1071,1615,1725,1549,1193,1462,1645,1213,644,408,340,774,14
2022-KW16,340,406,486,629,999,816,1229,1261,1172,939,1249,1359,1031,509,399,251,563,11
2022-KW17,172,263,350,504,706,461,728,736,739,594,855,864,691,404,328,224,453,8
2022-KW18,123,165,315,316,410,329,436,406,415,364,515,595,447,253,191,160,334,4
2022-KW19,95,136,229,253,310,233,322,336,367,313,395,450,362,209,170,100,270,7
2022-KW20,52,59,160,177,212,153,226,213,205,214,256,322,212,145,106,80,179,3
2022-KW21,20,31,74,103,110,109,131,139,139,117,144,141,124,76,55,53,89,
2022-KW22,39,24,84,94,160,118,194,143,168,164,204,229,149,124,83,57,134,1
2022-KW23,40,42,77,128,172,140,246,205,208,187,231,287,222,142,99,63,137,1
2022-KW24,59,53,89,181,324,279,334,304,272,290,366,395,313,173,148,112,193,
