# Quelle: Robert Koch-Institut, SurvStat@RKI 2.0, https://survstat.rki.de
# Abfragezeitpunkt: 2021-06-07 06:52:21
# API-Download für Covid19-Fälle in Hamburg, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW09,,,,,,,,,,1,,,,1,,,,
2020-KW10,,,1,,,1,4,2,2,2,3,2,,2,,2,,
2020-KW11,4,5,9,20,24,29,35,38,22,37,44,21,13,4,1,5,5,
2020-KW12,6,9,19,55,72,103,113,69,88,83,97,87,57,34,15,16,12,
2020-KW13,10,5,29,44,83,90,85,90,87,113,120,71,68,38,35,45,59,2
2020-KW14,8,6,16,27,68,71,68,71,74,66,78,60,62,41,41,60,93,
2020-KW15,11,4,8,27,52,65,62,54,45,52,64,53,33,24,41,35,125,
2020-KW16,2,4,3,9,32,36,35,30,29,37,31,34,17,10,14,30,90,
2020-KW17,2,1,3,6,20,25,29,16,18,14,17,19,9,14,13,16,69,
2020-KW18,2,1,,4,21,14,8,11,9,8,5,11,6,,2,11,25,
2020-KW19,,,2,3,2,10,11,5,2,5,13,8,5,5,2,8,13,
2020-KW20,1,,2,2,3,3,5,1,3,4,7,6,4,1,,2,5,
2020-KW21,3,,,,2,4,2,,,1,,1,2,,2,4,4,
2020-KW22,1,1,1,,,2,1,1,2,2,3,1,,,1,1,,
2020-KW23,1,,1,1,3,1,1,4,3,4,1,,3,2,1,,1,
2020-KW24,1,4,2,1,1,2,2,3,3,1,2,,,1,1,,,
2020-KW25,,,1,2,5,4,1,2,4,6,1,,1,2,,1,1,
2020-KW26,3,1,2,2,6,6,7,2,3,4,1,2,,2,2,3,2,
2020-KW27,2,,1,,2,2,4,,3,3,1,1,1,1,,,2,
2020-KW28,1,,,,1,4,,,,,4,,1,2,1,,,
2020-KW29,,,,1,1,5,3,3,1,2,,1,,,,,,
2020-KW30,2,5,5,6,3,5,12,11,6,9,6,5,3,1,3,,9,
2020-KW31,1,3,10,7,7,17,11,12,9,11,5,8,5,,4,1,4,
2020-KW32,7,12,19,21,35,24,30,25,31,17,14,15,4,3,1,2,6,13
2020-KW33,3,9,19,16,21,25,18,17,12,8,18,8,4,3,2,1,4,1
2020-KW34,5,2,9,10,31,26,26,17,9,13,15,9,5,1,3,2,2,
2020-KW35,4,7,6,16,38,32,25,12,7,17,10,9,8,6,1,4,1,
2020-KW36,3,5,14,20,39,56,38,20,19,10,13,9,9,6,2,1,5,
2020-KW37,3,12,33,22,27,57,43,26,16,14,18,17,9,9,3,3,7,
2020-KW38,10,7,16,29,79,64,48,23,23,22,24,17,9,9,10,3,6,
2020-KW39,6,14,18,59,88,79,58,36,23,24,38,27,17,8,5,4,5,
2020-KW40,11,16,37,43,96,67,77,44,40,38,32,35,27,23,8,15,30,
2020-KW41,8,11,39,45,90,88,79,61,44,46,56,55,19,8,11,9,18,
2020-KW42,14,19,35,64,128,156,94,94,73,71,90,46,25,24,25,11,39,1
2020-KW43,32,40,76,132,233,278,216,172,157,150,127,108,77,47,30,28,65,5
2020-KW44,51,57,123,173,314,329,300,226,205,187,190,165,100,66,50,51,102,4
2020-KW45,72,93,163,281,292,338,320,253,254,215,227,171,121,65,63,60,150,7
2020-KW46,58,94,135,237,225,265,265,218,217,208,188,178,101,63,69,60,195,2
2020-KW47,41,108,123,170,195,210,190,213,215,194,187,148,91,70,57,60,191,2
2020-KW48,32,56,66,98,115,148,156,157,120,112,124,99,65,36,27,37,173,
2020-KW49,51,71,98,143,181,200,210,169,159,143,162,138,105,61,56,84,202,
2020-KW50,55,97,84,160,211,218,224,205,212,154,206,167,114,60,80,70,307,1
2020-KW51,78,94,87,161,237,269,291,254,260,241,216,204,149,85,85,75,292,1
2020-KW52,61,96,78,130,185,251,269,220,243,209,199,176,128,86,64,71,275,1
2020-KW53,56,47,57,108,194,273,245,192,163,141,181,195,111,74,85,89,382,1
2021-KW01,49,47,78,141,245,307,290,217,198,180,216,189,138,84,93,86,352,1
2021-KW02,46,39,49,98,191,216,186,179,147,147,145,146,84,56,69,57,212,1
2021-KW03,37,38,57,71,152,178,189,147,144,109,135,139,91,56,55,52,203,
2021-KW04,46,37,41,62,116,142,132,125,108,107,120,112,94,54,44,46,182,
2021-KW05,33,31,38,74,113,132,120,113,95,116,94,100,74,45,41,34,84,
2021-KW06,51,27,26,52,112,140,108,108,111,96,92,80,66,31,40,47,89,
2021-KW07,42,38,43,67,124,135,135,120,97,91,96,103,73,50,32,39,69,
2021-KW08,48,57,46,87,138,134,162,152,118,112,127,109,84,42,32,32,51,
2021-KW09,69,72,59,77,119,127,152,142,130,117,103,97,79,46,43,24,59,
2021-KW10,77,66,67,110,148,174,186,153,124,138,135,110,85,39,44,29,53,
2021-KW11,99,93,107,130,184,196,217,204,176,156,184,142,116,62,45,41,45,
2021-KW12,145,184,121,184,262,255,294,277,230,178,174,174,119,85,68,47,71,
2021-KW13,176,202,135,187,231,260,286,278,221,206,194,187,125,63,53,52,54,
2021-KW14,100,162,169,204,260,241,269,247,225,186,166,155,117,62,57,30,37,
2021-KW15,87,150,149,206,260,241,241,237,201,176,184,169,121,72,39,30,42,1
2021-KW16,73,122,120,164,177,191,213,181,157,170,158,153,103,63,57,25,45,1
2021-KW17,80,113,97,135,190,195,199,166,136,132,126,118,80,46,39,29,31,1
2021-KW18,80,108,79,105,118,162,158,160,116,96,106,98,78,35,25,16,26,
2021-KW19,45,36,37,62,91,117,84,97,67,72,58,55,48,34,15,12,14,2
2021-KW20,23,57,83,53,63,62,68,52,49,45,59,32,24,16,10,4,10,
2021-KW21,26,29,34,34,32,41,38,37,32,27,26,22,12,10,4,5,14,
2021-KW22,18,29,20,28,43,28,27,21,34,25,15,14,6,9,7,3,5,
