# Quelle: Robert Koch-Institut, SurvStat@RKI 2.0, https://survstat.rki.de
# Abfragezeitpunkt: 2022-08-13 08:36:57
# API-Download für Covid19-Fälle in Mecklenburg-Vorpommern, letzte KW ggf. noch nicht vollständig
KW,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unbekannt
2020-KW10,,,,,,,,,,1,2,,2,,,2,,
2020-KW11,,,1,,4,2,1,6,5,2,8,3,,,1,,,
2020-KW12,,,,1,13,23,18,12,12,9,24,15,10,7,3,2,2,
2020-KW13,,1,4,8,13,22,14,11,14,15,12,14,15,4,6,8,11,
2020-KW14,3,5,3,7,10,5,10,11,17,8,17,12,12,7,5,13,18,
2020-KW15,1,2,1,5,7,5,4,1,9,2,8,4,9,9,2,6,15,
2020-KW16,,,,,4,6,2,1,,3,5,3,6,3,,1,2,
2020-KW17,1,,2,,,1,1,2,,1,6,1,1,3,,,2,
2020-KW18,,,1,2,1,,3,,3,2,4,5,2,1,,,4,
2020-KW19,,1,,2,1,1,1,3,1,1,2,5,3,4,,1,1,
2020-KW20,,,,,1,1,2,2,1,1,2,3,1,4,,,2,
2020-KW21,,,,1,,,,1,1,2,2,,2,1,,,,
2020-KW22,,,,,,,,,,,2,,1,,,,,
2020-KW23,,,,,1,,2,,,,2,,,2,,2,4,
2020-KW24,,,,1,1,1,,,,,,1,2,1,2,,,
2020-KW25,,,,,,2,2,,2,,2,2,,,,,,
2020-KW26,,,,,,1,2,1,2,,,2,,1,,,,
2020-KW27,,,,,,,1,,1,,,,1,,,,,
2020-KW29,,3,,,,,,,,2,,1,1,,,,,
2020-KW30,3,2,,2,1,3,7,7,3,1,1,3,2,,,,,
2020-KW31,,1,2,1,1,6,3,,5,2,10,3,2,1,,1,2,
2020-KW32,2,2,,3,7,7,5,5,6,4,4,5,2,,1,1,2,
2020-KW33,2,2,5,1,7,2,,4,2,,,3,,1,2,,1,
2020-KW34,,1,2,1,7,3,2,1,2,2,1,,2,,,,,
2020-KW35,1,,,2,5,1,2,1,1,,,,,,,,,
2020-KW36,1,,,2,6,1,5,,1,1,1,3,,,1,,,
2020-KW37,,1,1,3,6,6,3,3,1,3,2,2,2,1,,,,
2020-KW38,,1,9,4,4,3,5,4,2,,1,5,2,4,1,3,2,
2020-KW39,,1,4,1,11,2,1,2,1,4,3,6,4,3,2,3,4,
2020-KW40,,2,3,6,5,13,10,15,11,9,10,9,10,3,3,6,14,
2020-KW41,3,2,7,11,5,7,9,8,9,9,16,8,8,8,12,12,14,
2020-KW42,6,11,9,12,15,10,29,22,21,26,22,27,19,20,9,8,14,
2020-KW43,5,9,25,41,21,24,39,43,34,32,53,38,31,12,9,15,32,
2020-KW44,8,15,47,50,43,31,64,58,70,75,66,63,52,32,21,26,34,
2020-KW45,10,23,39,40,57,33,61,68,53,66,70,75,71,42,25,42,46,
2020-KW46,10,26,36,61,33,30,43,47,47,53,61,60,56,24,26,30,43,
2020-KW47,15,22,29,39,46,34,51,45,66,50,71,89,62,39,15,26,56,
2020-KW48,14,35,30,41,38,39,63,48,37,37,67,74,62,27,25,25,114,
2020-KW49,18,29,39,59,36,30,56,65,64,46,55,75,68,36,15,24,101,
2020-KW50,19,55,74,68,53,50,126,106,106,92,118,144,127,74,38,45,162,
2020-KW51,27,45,64,78,86,81,121,101,103,103,123,158,103,77,47,54,202,
2020-KW52,17,31,40,62,73,50,92,77,100,94,128,111,93,74,31,34,178,
2020-KW53,20,17,26,39,76,59,116,103,103,100,114,169,100,65,52,76,273,
2021-KW01,40,36,42,93,123,92,183,162,131,141,200,217,167,93,80,89,307,2
2021-KW02,29,31,43,60,87,70,135,122,118,112,158,174,154,99,64,82,432,
2021-KW03,30,31,43,67,86,56,110,99,108,128,151,170,134,81,47,70,320,
2021-KW04,18,32,41,51,52,49,98,96,93,92,124,140,122,82,46,67,261,
2021-KW05,38,40,25,53,73,52,106,99,74,71,93,151,104,78,45,58,198,
2021-KW06,27,27,29,40,42,41,56,73,83,65,105,116,79,63,49,40,122,
2021-KW07,39,30,30,37,63,57,81,79,59,78,83,109,92,63,32,57,161,
2021-KW08,46,42,18,46,58,38,85,77,74,82,99,132,97,53,33,36,111,
2021-KW09,57,36,32,68,68,45,82,87,83,74,103,126,89,40,21,24,97,
2021-KW10,45,46,31,38,64,51,80,100,60,69,122,119,93,47,45,28,75,
2021-KW11,54,50,50,42,64,66,102,86,96,75,136,147,129,63,39,42,103,
2021-KW12,94,106,77,76,91,83,140,176,159,111,165,184,173,95,64,46,105,
2021-KW13,90,95,72,73,85,62,165,149,138,110,124,181,151,81,42,48,81,
2021-KW14,89,136,104,90,87,94,163,172,152,114,161,185,177,134,68,69,72,
2021-KW15,106,140,132,151,126,129,175,173,181,160,199,225,188,128,83,62,103,
2021-KW16,91,115,89,126,137,100,167,155,182,161,192,230,176,129,67,44,101,
2021-KW17,63,92,88,94,119,107,179,171,161,121,153,216,130,79,65,45,71,
2021-KW18,61,77,85,72,84,56,96,104,100,105,121,137,117,69,38,36,62,
2021-KW19,40,50,49,46,44,34,89,81,65,68,87,82,66,46,34,25,35,
2021-KW20,26,39,45,38,37,34,48,60,48,33,52,53,40,27,24,12,25,
2021-KW21,11,14,15,20,14,14,14,21,18,17,11,14,22,10,7,4,12,
2021-KW22,8,5,8,11,12,12,12,8,10,6,9,12,11,6,4,1,4,
2021-KW23,2,3,4,5,3,6,10,1,6,9,10,9,2,2,4,2,3,
2021-KW24,3,2,8,,,3,3,1,1,3,3,3,1,1,1,,2,
2021-KW25,4,,4,3,2,5,2,1,1,2,6,3,1,1,1,,,
2021-KW26,1,2,,1,2,4,2,3,,3,1,2,,,,,,
2021-KW27,,1,4,2,3,2,3,1,2,5,1,3,,,,,,
